"Date Heure, GMT+01:00",Flux d'énergie total (W/m2) pour la profondeur 6.6500 m,Flux d'énergie total (W/m2) pour la profondeur 6.6678 m,Flux d'énergie total (W/m2) pour la profondeur 6.6855 m,Flux d'énergie total (W/m2) pour la profondeur 6.7033 m,Flux d'énergie total (W/m2) pour la profondeur 6.7210 m,Flux d'énergie total (W/m2) pour la profondeur 6.7388 m,Flux d'énergie total (W/m2) pour la profondeur 6.7565 m,Flux d'énergie total (W/m2) pour la profondeur 6.7743 m,Flux d'énergie total (W/m2) pour la profondeur 6.7920 m,Flux d'énergie total (W/m2) pour la profondeur 6.8098 m,Flux d'énergie total (W/m2) pour la profondeur 6.8276 m,Flux d'énergie total (W/m2) pour la profondeur 6.8453 m,Flux d'énergie total (W/m2) pour la profondeur 6.8631 m,Flux d'énergie total (W/m2) pour la profondeur 6.8808 m,Flux d'énergie total (W/m2) pour la profondeur 6.8986 m,Flux d'énergie total (W/m2) pour la profondeur 6.9163 m,Flux d'énergie total (W/m2) pour la profondeur 6.9341 m,Flux d'énergie total (W/m2) pour la profondeur 6.9518 m,Flux d'énergie total (W/m2) pour la profondeur 6.9696 m,Flux d'énergie total (W/m2) pour la profondeur 6.9873 m,Flux d'énergie total (W/m2) pour la profondeur 7.0051 m,Flux d'énergie total (W/m2) pour la profondeur 7.0229 m,Flux d'énergie total (W/m2) pour la profondeur 7.0406 m,Flux d'énergie total (W/m2) pour la profondeur 7.0584 m,Flux d'énergie total (W/m2) pour la profondeur 7.0761 m,Flux d'énergie total (W/m2) pour la profondeur 7.0939 m,Flux d'énergie total (W/m2) pour la profondeur 7.1116 m,Flux d'énergie total (W/m2) pour la profondeur 7.1294 m,Flux d'énergie total (W/m2) pour la profondeur 7.1471 m,Flux d'énergie total (W/m2) pour la profondeur 7.1649 m,Flux d'énergie total (W/m2) pour la profondeur 7.1827 m,Flux d'énergie total (W/m2) pour la profondeur 7.2004 m,Flux d'énergie total (W/m2) pour la profondeur 7.2182 m,Flux d'énergie total (W/m2) pour la profondeur 7.2359 m,Flux d'énergie total (W/m2) pour la profondeur 7.2537 m,Flux d'énergie total (W/m2) pour la profondeur 7.2714 m,Flux d'énergie total (W/m2) pour la profondeur 7.2892 m,Flux d'énergie total (W/m2) pour la profondeur 7.3069 m,Flux d'énergie total (W/m2) pour la profondeur 7.3247 m,Flux d'énergie total (W/m2) pour la profondeur 7.3424 m,Flux d'énergie total (W/m2) pour la profondeur 7.3602 m,Flux d'énergie total (W/m2) pour la profondeur 7.3780 m,Flux d'énergie total (W/m2) pour la profondeur 7.3957 m,Flux d'énergie total (W/m2) pour la profondeur 7.4135 m,Flux d'énergie total (W/m2) pour la profondeur 7.4312 m,Flux d'énergie total (W/m2) pour la profondeur 7.4490 m,Flux d'énergie total (W/m2) pour la profondeur 7.4667 m,Flux d'énergie total (W/m2) pour la profondeur 7.4845 m,Flux d'énergie total (W/m2) pour la profondeur 7.5022 m,Flux d'énergie total (W/m2) pour la profondeur 7.5200 m
17/05/18 12:45:00,-1205543609.679243,-1205392010.712305,-1205240284.0293028,-1205088557.3431644,-1204936958.3746586,-1204785231.6916564,-1204633505.005518,-1204481906.037012,-1204330179.3540099,-1204178452.6678715,-1204026853.6993656,-1203875127.0163634,-1203723400.330225,-1203571801.3617191,-1203420074.678717,-1203268347.9925785,-1203116749.0240726,-1202965022.3410704,-1202813295.654932,-1202661696.6864262,-1202509970.003424,-1202358243.3172855,-1202206644.3487797,-1202054917.6657774,-1201903190.979639,-1201751592.0111332,-1201599865.328131,-1201448138.6419926,-1201296539.6734867,-1201144812.9904845,-1200993086.304346,-1200841487.3358402,-1200689760.652838,-1200538033.9666996,-1200386434.9981937,-1200234708.3151915,-1200082981.6306212,-1199931254.9444828,-1199779655.975977,-1199627929.2929747,-1199476202.6068363,-1199324603.6383305,-1199172876.9553282,-1199021150.2691898,-1198869551.300684,-1198717824.6176817,-1198566097.9315434,-1198414498.9630375,-1198262772.2800353,-1198111045.595465
17/05/18 13:00:00,-1205581286.165986,-1205419597.5938945,-1205260718.7501342,-1205103883.3806524,-1204948452.9004228,-1204794044.1549804,-1204640529.4282606,-1204487525.5720704,-1204334904.8656418,-1204182667.3121097,-1204030429.7617135,-1203878319.924246,-1203726465.5220437,-1203574483.4037764,-1203422756.7160704,-1203271030.0315,-1203119303.3453617,-1202967704.3768559,-1202815977.6938536,-1202664251.0092833,-1202512524.324713,-1202360797.6401427,-1202209070.9555724,-1202057344.271002,-1201905617.5864317,-1201753890.9018614,-1201602164.217291,-1201450437.5327208,-1201298710.8481505,-1201146984.1635802,-1200995257.4790099,-1200843530.7928715,-1200691931.8243656,-1200540205.1413634,-1200388478.456793,-1200236751.7722228,-1200085025.0876524,-1199933298.4030821,-1199781571.7169437,-1199629972.748438,-1199478246.0654356,-1199326519.3808653,-1199174792.697863,-1199022938.298796,-1198871083.8965936,-1198719357.2120233,-1198567502.8145242,-1198415520.7009606,-1198263410.8729007,-1198111045.611144
17/05/18 13:15:00,-1205631606.4772582,-1205462510.37186,-1205296351.7014508,-1205133002.790731,-1204972080.4946432,-1204813201.6649942,-1204655983.1551585,-1204499914.0977426,-1204344866.7751136,-1204190458.0359426,-1204036815.5947268,-1203883684.0224717,-1203730935.5999787,-1203578570.3303823,-1203426205.0623538,-1203274095.2248864,-1203122113.1050515,-1202970258.7028487,-1202818404.3006463,-1202666677.614508,-1202514950.9299376,-1202363224.2469354,-1202211369.8463006,-1202059643.1601622,-1201907916.47716,-1201756062.0780928,-1201604207.6743224,-1201452608.7042484,-1201300882.0212462,-1201149155.336676,-1200997428.6521056,-1200845701.9675353,-1200693975.282965,-1200542248.5968266,-1200390649.6283207,-1200238922.9453185,-1200087196.2607481,-1199935469.5761778,-1199783742.8931756,-1199631888.4941084,-1199480034.0934737,-1199328179.692839,-1199176325.2922041,-1199024470.8931375,-1198872488.779574,-1198720378.9483783,-1198568269.1187503,-1198415903.8569937,-1198263538.5936692,-1198111045.6142797
17/05/18 13:30:00,-1205656638.7725816,-1205489713.8685021,-1205323427.5243616,-1205158801.4765162,-1204995835.7375083,-1204834530.308906,-1204674757.4777815,-1204516261.810437,-1204359043.3084407,-1204202718.8235996,-1204047288.3543453,-1203892496.466981,-1203738470.8791394,-1203584828.4441948,-1203431569.1558757,-1203278820.7333822,-1203126327.747722,-1202973962.4781253,-1202821852.640658,-1202669870.5223906,-1202517888.4041238,-1202366034.001921,-1202214179.6012862,-1202062325.2006514,-1201910470.8000166,-1201758616.3993819,-1201606761.9971795,-1201455035.311041,-1201303308.628039,-1201151454.227404,-1200999727.5412657,-1200848000.8566954,-1200696274.172125,-1200544547.4891229,-1200392693.088488,-1200240966.4039178,-1200089112.0048506,-1199937257.6026483,-1199785530.9196455,-1199633548.8045144,-1199481694.4038796,-1199329712.2871804,-1199177857.8896813,-1199025620.345557,-1198873382.7967288,-1198721145.2494686,-1198568779.9877121,-1198416287.0098908,-1198263666.314437,-1198111045.6174154
17/05/18 13:45:00,-1205715260.7095742,-1205537607.6184506,-1205363658.2508626,-1205193157.2279906,-1205025465.9679432,-1204860456.756225,-1204697363.2964494,-1204536057.8678472,-1204376157.3206582,-1204217661.6533136,-1204060315.435253,-1203903990.9519794,-1203748305.0521638,-1203593385.4487355,-1203439104.4271972,-1203285461.9891167,-1203132202.7039335,-1202979198.850879,-1202826578.147586,-1202674085.1634934,-1202521719.8954647,-1202369482.3450687,-1202217244.7946725,-1202065134.9587731,-1201913152.8405058,-1201761170.722239,-1201609316.3200362,-1201457461.9178338,-1201305735.2316954,-1201154008.5486932,-1201002154.149626,-1200850299.7489913,-1200698445.3483565,-1200546590.946154,-1200394864.2631514,-1200242882.1480203,-1200091027.7473855,-1199939045.6306863,-1199787191.2300515,-1199635209.116488,-1199483099.2837243,-1199331117.167025,-1199179007.3358295,-1199026897.5046334,-1198874659.9605093,-1198722166.982688,-1198569674.0048666,-1198416925.5949168,-1198264177.1865342,-1198111045.6299589
17/05/18 14:00:00,-1205581285.3412669,-1205453186.2760036,-1205313081.996324,-1205165186.9457748,-1205012694.0573242,-1204857263.6601934,-1204700428.3612673,-1204542699.0310752,-1204385097.404404,-1204227623.4906619,-1204070532.721977,-1203913825.09835,-1203757756.0534768,-1203602197.8728619,-1203447278.272569,-1203292869.5396698,-1203138843.954964,-1202985329.2360842,-1202832069.9524686,-1202679066.1025498,-1202526189.967128,-1202373696.9798996,-1202221331.715007,-1202068838.73405,-1201916473.4644535,-1201764363.628554,-1201612253.7942224,-1201460271.6775231,-1201308161.8447595,-1201156179.7249246,-1201004325.3227217,-1200852470.923655,-1200700488.8069558,-1200548634.406321,-1200396652.2911894,-1200244670.1744902,-1200092688.057791,-1199940705.9410918,-1199788723.8259606,-1199636613.994765,-1199484504.1620014,-1199332394.3292377,-1199180284.4996097,-1199027919.2394211,-1198875426.2600317,-1198722933.2822104,-1198570184.8738282,-1198417308.7493815,-1198264177.1912382,-1198111045.6299589
17/05/18 14:15:00,-1206037490.7923965,-1205759963.3296466,-1205519473.1994634,-1205305548.2474408,-1205109376.003983,-1204925464.621873,-1204749599.431787,-1204579481.5147748,-1204413322.831822,-1204249973.9258058,-1204088668.4893641,-1203929151.0872326,-1203770910.853585,-1203613820.0723567,-1203457367.8745868,-1203301809.689268,-1203146890.0905433,-1202992353.6415796,-1202838328.0568738,-1202684685.6234972,-1202531298.6222496,-1202378294.7707627,-1202225418.636909,-1202072797.9351838,-1201920304.9526587,-1201767811.970134,-1201615446.7005374,-1201463336.8662057,-1201311099.3173776,-1201158989.4830463,-1201006879.6502826,-1200854769.8159509,-1200702787.6992517,-1200550677.868056,-1200398568.0352924,-1200246458.2025287,-1200094348.369765,-1199942238.5370014,-1199790128.7042377,-1199638018.8730416,-1199485781.3273494,-1199333416.065593,-1199180923.0862036,-1199028430.1052465,-1198875937.1274252,-1198723188.7174754,-1198570440.3075252,-1198417436.467014,-1198264304.9088707,-1198111045.6330945
17/05/18 14:30:00,-1206297009.6817102,-1206025740.6651692,-1205762262.1278682,-1205515131.146471,-1205283964.693513,-1205067485.6287327,-1204863650.5076423,-1204670160.4395132,-1204485099.6771078,-1204306680.1861157,-1204133752.515685,-1203965039.5004683,-1203799774.840942,-1203636936.8007517,-1203476397.6591291,-1203317518.8388875,-1203159917.1855624,-1203003464.9815204,-1202847906.7962017,-1202692987.1959088,-1202538578.461442,-1202384680.5928006,-1202231165.8754885,-1202077906.591873,-1201924902.741954,-1201772026.609668,-1201619278.1918783,-1201466785.2077856,-1201314292.225261,-1201161926.9572322,-1201009689.408404,-1200857324.1435115,-1200705086.5915475,-1200552976.7587838,-1200400739.2115238,-1200248501.6626956,-1200096264.1138675,-1199944026.5634713,-1199791916.7322757,-1199639551.470519,-1199487186.2071946,-1199334693.2278051,-1199182200.2484162,-1199029579.5560985,-1198876703.4300838,-1198723827.302501,-1198570823.4604223,-1198417691.902279,-1198264432.6280708,-1198111045.6362307
17/05/18 14:45:00,-1206363932.2001972,-1206121143.9663754,-1205877972.5122366,-1205640675.8998528,-1205410914.508617,-1205189199.2184663,-1204975913.1870012,-1204770800.9930692,-1204573351.7771153,-1204382926.963521,-1204198632.539836,-1204019829.925737,-1203845625.1087728,-1203675379.5086222,-1203508199.1049933,-1203344083.8978868,-1203182139.8779874,-1203022111.6068943,-1202863615.9379816,-1202706269.7199209,-1202549945.2350793,-1202394387.0513287,-1202239467.4510357,-1202085058.716569,-1201931160.8494952,-1201777518.4176867,-1201624131.416439,-1201471127.5633845,-1201318379.147163,-1201165630.732509,-1201013010.0339193,-1200860389.3337622,-1200708024.067302,-1200555531.086345,-1200403165.8198843,-1200250800.5565598,-1200098307.5756028,-1199945942.3107102,-1199793449.3313208,-1199640956.3503637,-1199488463.3709748,-1199335842.675521,-1199183221.9816356,-1199030345.8540528,-1198877597.442535,-1198724593.6020238,-1198571462.0438805,-1198418202.7712405,-1198264688.066471,-1198111045.642502
17/05/18 15:00:00,-1206577346.4870863,-1206304289.5052238,-1206034169.8078303,-1205779120.4868817,-1205536715.1096225,-1205305037.9209752,-1205082811.7508879,-1204868887.1469402,-1204662625.5225391,-1204463388.2973623,-1204270536.892655,-1204083305.0088944,-1203901309.4978871,-1203723784.0632477,-1203550345.5567822,-1203380227.6805348,-1203213175.0008101,-1203048548.937286,-1202886094.054696,-1202725427.2048483,-1202566292.9540458,-1202408435.8717272,-1202251472.8065639,-1202095403.7554193,-1201940101.0069332,-1201785181.4082081,-1201630900.3882375,-1201477130.2387967,-1201323487.8085558,-1201170100.8088758,-1201016969.241325,-1200864093.1090388,-1200711216.9783204,-1200558468.5636668,-1200405720.150581,-1200252971.7359269,-1200100351.0373373,-1199947730.3387482,-1199795237.3593588,-1199642488.949409,-1199489740.536323,-1199336992.1248047,-1199184115.9940867,-1199031495.300201,-1198878363.7451932,-1198725232.185482,-1198571972.912842,-1198418458.2080727,-1198264815.7856717,-1198111045.6456378
