#,Date Heure(GMT+01:00),Tension(V),Températures(°C),Pression différentielle (m)
1,05/18/17 12:00:00,2.4999599999999997,293.111,0.8458494603298852
2,05/18/17 12:15:00,1.5227700000000002,288.08099999999996,0.904881667504779
3,05/18/17 12:30:00,1.9855,288.07099999999997,0.868663850963406
4,05/18/17 12:45:00,2.4999599999999997,288.063,0.8284079069826955
5,05/18/17 13:00:00,2.4999599999999997,288.072,0.828439003254511
6,05/18/17 13:15:00,2.4999599999999997,288.084,0.828480464950265
7,05/18/17 13:30:00,2.4999599999999997,288.09,0.8285011957981419
8,05/18/17 13:45:00,2.4999599999999997,288.104,0.8285495677765217
9,05/18/17 14:00:00,2.4999599999999997,288.072,0.828439003254511
10,05/18/17 14:15:00,2.4999599999999997,288.181,0.8288156136576099
11,05/18/17 14:30:00,2.4999599999999997,288.243,0.8290298324190057
12,05/18/17 14:45:00,2.4999599999999997,288.25899999999996,0.829085114680011
13,05/18/17 15:00:00,2.4960299999999997,288.31,0.8295686340249382
14,05/18/17 15:15:00,2.47024,288.371,0.831796051865965
15,05/18/17 15:30:00,2.44068,288.44,0.8343459067433868
16,05/18/17 15:45:00,2.41684,288.493,0.8363932028129324
17,05/18/17 16:00:00,2.3953599999999997,288.56699999999995,0.8383285161768629
18,05/18/17 16:15:00,2.37469,288.644,0.8402108568523257
19,05/18/17 16:30:00,2.35546,288.70799999999997,0.8419356796019984
20,05/18/17 16:45:00,2.32429,288.753,0.8445285053607204
21,05/18/17 17:00:00,2.3051,288.80499999999995,0.8462087386066192
22,05/18/17 17:15:00,2.28767,288.849,0.847723707169132
23,05/18/17 17:30:00,2.2718,288.929,0.849241076306124
24,05/18/17 17:45:00,2.25273,288.971,0.8508773747148345
25,05/18/17 18:00:00,2.23667,288.98699999999997,0.8521884718959002
26,05/18/17 18:15:00,2.21424,288.98999999999995,0.8539527556670963
27,05/18/17 18:30:00,2.19551,289.02,0.8555210060118821
28,05/18/17 18:45:00,2.1799,289.02599999999995,0.8567623639395937
29,05/18/17 19:00:00,2.15675,289.044,0.8586347753748438
30,05/18/17 19:15:00,2.2620400000000003,289.07399999999996,0.8505052569533835
31,05/18/17 19:30:00,2.23457,289.88399999999996,0.855451943574567
32,05/18/17 19:45:00,2.14038,289.238,0.8605851282217498
33,05/18/17 20:00:00,2.10689,288.811,0.861728540145978
34,05/18/17 20:15:00,2.07397,288.77099999999996,0.8641645204939872
35,05/18/17 20:30:00,2.0449,288.698,0.8661854296567406
36,05/18/17 20:45:00,2.01476,288.60699999999997,0.8682278151403998
37,05/18/17 21:00:00,1.9980900000000001,288.52799999999996,0.8692583729690527
38,05/18/17 21:15:00,1.9744,288.441,0.8708102199747261
39,05/18/17 21:30:00,1.94659,288.35499999999996,0.87268768634778
40,05/18/17 21:45:00,1.92622,288.277,0.8740110215596028
41,05/18/17 22:00:00,1.9069200000000002,288.219,0.8753197907331451
42,05/18/17 22:15:00,1.88861,288.16799999999995,0.8765753326473802
43,05/18/17 22:30:00,1.8749900000000002,288.123,0.8774848699191387
44,05/18/17 22:45:00,1.85801,288.06899999999996,0.8786260467927678
45,05/18/17 23:00:00,1.8398900000000002,288.015,0.8798563661949692
46,05/18/17 23:15:00,1.8225799999999999,287.947,0.8809749755063845
47,05/18/17 23:30:00,1.8014,287.866,0.882351283406675
48,05/18/17 23:45:00,1.7796599999999998,287.78099999999995,0.8837575600539952
49,05/19/17 00:00:00,1.76005,287.688,0.8849696397937441
50,05/19/17 00:15:00,1.7418900000000002,287.604,0.8860994327645805
51,05/19/17 00:30:00,1.7187,287.508,0.8875810858981874
52,05/19/17 00:45:00,1.6957400000000002,287.39599999999996,0.8889894718746734
53,05/19/17 01:00:00,1.6832200000000002,287.31199999999995,0.8896782439146791
54,05/19/17 01:15:00,1.66133,287.23999999999995,0.8911411666791417
55,05/19/17 01:30:00,1.6446900000000002,287.183,0.8922453917606618
56,05/19/17 01:45:00,1.62978,287.116,0.8931797877321852
57,05/19/17 02:00:00,1.61715,287.09799999999996,0.894105200570893
58,05/19/17 02:15:00,1.60658,287.066,0.8948211593181876
59,05/19/17 02:30:00,1.5926200000000001,287.02099999999996,0.8957572829581164
60,05/19/17 02:45:00,1.5762200000000002,286.976,0.8968842028872703
61,05/19/17 03:00:00,1.5611899999999999,286.907,0.8978210720002282
62,05/19/17 03:15:00,1.5452,286.83099999999996,0.8988088225164781
63,05/19/17 03:30:00,1.53067,286.758,0.8996927734639338
64,05/19/17 03:45:00,1.51175,286.685,0.900920001341593
65,05/19/17 04:00:00,1.4963799999999998,286.60999999999996,0.9018627259748444
66,05/19/17 04:15:00,1.4818,286.536,0.9027471315410126
67,05/19/17 04:30:00,1.4669299999999998,286.46999999999997,0.9036818548458285
68,05/19/17 04:45:00,1.4560899999999999,286.404,0.9043014514926221
69,05/19/17 05:00:00,1.4426299999999999,286.354,0.905181201825736
70,05/19/17 05:15:00,1.4330100000000001,286.30699999999996,0.905771048012861
71,05/19/17 05:30:00,1.41535,286.27,0.9070241350251497
72,05/19/17 05:45:00,1.40963,286.222,0.9073055647890046
73,05/19/17 06:00:00,1.3986,286.178,0.9080160316327758
74,05/19/17 06:15:00,1.38434,286.121,0.9089341521371014
75,05/19/17 06:30:00,1.3747200000000002,286.075,0.9095274534655393
76,05/19/17 06:45:00,1.36763,286.03,0.9099263760780201
77,05/19/17 07:00:00,1.3557299999999999,285.98499999999996,0.9107014176049151
78,05/19/17 07:15:00,1.3489,285.94899999999996,0.9111111057370809
