"Date Heure, GMT+01:00",Flux advectif (W/m2) pour la profondeur 2.1000 m,Flux advectif (W/m2) pour la profondeur 2.1163 m,Flux advectif (W/m2) pour la profondeur 2.1327 m,Flux advectif (W/m2) pour la profondeur 2.1490 m,Flux advectif (W/m2) pour la profondeur 2.1653 m,Flux advectif (W/m2) pour la profondeur 2.1816 m,Flux advectif (W/m2) pour la profondeur 2.1980 m,Flux advectif (W/m2) pour la profondeur 2.2143 m,Flux advectif (W/m2) pour la profondeur 2.2306 m,Flux advectif (W/m2) pour la profondeur 2.2469 m,Flux advectif (W/m2) pour la profondeur 2.2633 m,Flux advectif (W/m2) pour la profondeur 2.2796 m,Flux advectif (W/m2) pour la profondeur 2.2959 m,Flux advectif (W/m2) pour la profondeur 2.3122 m,Flux advectif (W/m2) pour la profondeur 2.3286 m,Flux advectif (W/m2) pour la profondeur 2.3449 m,Flux advectif (W/m2) pour la profondeur 2.3612 m,Flux advectif (W/m2) pour la profondeur 2.3776 m,Flux advectif (W/m2) pour la profondeur 2.3939 m,Flux advectif (W/m2) pour la profondeur 2.4102 m,Flux advectif (W/m2) pour la profondeur 2.4265 m,Flux advectif (W/m2) pour la profondeur 2.4429 m,Flux advectif (W/m2) pour la profondeur 2.4592 m,Flux advectif (W/m2) pour la profondeur 2.4755 m,Flux advectif (W/m2) pour la profondeur 2.4918 m,Flux advectif (W/m2) pour la profondeur 2.5082 m,Flux advectif (W/m2) pour la profondeur 2.5245 m,Flux advectif (W/m2) pour la profondeur 2.5408 m,Flux advectif (W/m2) pour la profondeur 2.5571 m,Flux advectif (W/m2) pour la profondeur 2.5735 m,Flux advectif (W/m2) pour la profondeur 2.5898 m,Flux advectif (W/m2) pour la profondeur 2.6061 m,Flux advectif (W/m2) pour la profondeur 2.6224 m,Flux advectif (W/m2) pour la profondeur 2.6388 m,Flux advectif (W/m2) pour la profondeur 2.6551 m,Flux advectif (W/m2) pour la profondeur 2.6714 m,Flux advectif (W/m2) pour la profondeur 2.6878 m,Flux advectif (W/m2) pour la profondeur 2.7041 m,Flux advectif (W/m2) pour la profondeur 2.7204 m,Flux advectif (W/m2) pour la profondeur 2.7367 m,Flux advectif (W/m2) pour la profondeur 2.7531 m,Flux advectif (W/m2) pour la profondeur 2.7694 m,Flux advectif (W/m2) pour la profondeur 2.7857 m,Flux advectif (W/m2) pour la profondeur 2.8020 m,Flux advectif (W/m2) pour la profondeur 2.8184 m,Flux advectif (W/m2) pour la profondeur 2.8347 m,Flux advectif (W/m2) pour la profondeur 2.8510 m,Flux advectif (W/m2) pour la profondeur 2.8673 m,Flux advectif (W/m2) pour la profondeur 2.8837 m,Flux advectif (W/m2) pour la profondeur 2.9000 m
14/04/21 10:46:36,-1230197531.8908691,-1230341340.1794434,-1230485148.4680176,-1230628956.7565918,-1230772765.045166,-1230916573.3337402,-1231060509.338379,-1231204317.6269531,-1231348125.9155273,-1231491934.2041016,-1231635742.4926758,-1231779550.78125,-1231923359.0698242,-1232067295.074463,-1232211103.363037,-1232354911.6516113,-1232498719.9401855,-1232642528.2287598,-1232786336.517334,-1232930272.5219727,-1233074080.8105469,-1233217889.099121,-1233361697.3876953,-1233505505.6762695,-1233649313.9648438,-1233793122.253418,-1233937058.2580566,-1234080866.5466309,-1234224674.835205,-1234368483.1237793,-1234512291.4123535,-1234656099.7009277,-1234799907.989502,-1234943843.9941406,-1235087652.2827148,-1235231460.571289,-1235375268.8598633,-1235519077.1484375,-1235662885.4370117,-1235806693.725586,-1235950629.7302246,-1236094438.0187988,-1236238246.307373,-1236382054.5959473,-1236525862.8845215,-1236669671.1730957,-1236813607.1777344,-1236957415.4663086,-1237101223.7548828,-1237245032.043457
14/04/21 11:01:36,-1230109663.2385254,-1236557281.036377,-1229847589.8742676,-1236375796.508789,-1229577342.6818848,-1236172600.2502441,-1229317695.9228516,-1235985751.6479492,-1229061114.3493652,-1235801201.9348145,-1228811940.3076172,-1235616652.2216797,-1228557529.9072266,-1235440020.904541,-1228310271.6064453,-1235268115.081787,-1228062630.1574707,-1235092888.6413574,-1227825972.290039,-1234930816.9555664,-1227587909.5458984,-1234769000.7019043,-1227357509.765625,-1234609100.189209,-1227126599.1210938,-1234454052.886963,-1226900924.835205,-1234300410.4614258,-1226677549.4384766,-1234153920.135498,-1226459410.4003906,-1234011516.7236328,-1226244975.1281738,-1233869496.459961,-1226032327.8808594,-1233737182.6171875,-1225822107.2387695,-1233608700.2563477,-1225617633.81958,-1233484177.0935059,-1225417502.746582,-1233361952.8198242,-1225219287.4145508,-1233245475.769043,-1225024264.9841309,-1233133596.496582,-1224833201.751709,-1233025931.854248,-1224645331.4208984,-1232921970.9777832
14/04/21 11:16:36,-1229908765.8691406,-1228855363.7695312,-1230012088.1652832,-1228945275.8789062,-1230121923.980713,-1229034804.840088,-1230237507.019043,-1229122545.7763672,-1230343128.2043457,-1229226634.3688965,-1230442363.5864258,-1229313992.1569824,-1230542748.413086,-1229404287.4145508,-1230644921.2646484,-1229483982.2387695,-1230748754.4250488,-1229573511.1999512,-1230848117.5231934,-1229656143.4936523,-1230940073.0895996,-1229740691.5283203,-1231032028.6560059,-1229817321.1669922,-1231125772.2473145,-1229895738.8305664,-1231216833.8012695,-1229971346.7407227,-1231305213.317871,-1230042229.1564941,-1231393592.8344727,-1230115155.0292969,-1231478524.017334,-1230184888.0004883,-1231562688.9038086,-1230251938.9343262,-1231642894.5922852,-1230315541.5344238,-1231721439.9719238,-1230378633.2702637,-1231798708.190918,-1230440958.7097168,-1231874443.8171387,-1230501623.840332,-1231947752.8381348,-1230559351.5014648,-1232018762.9699707,-1230615546.5698242,-1232088112.7929688,-1230670336.7614746
14/04/21 11:31:36,-1229477724.1516113,-1229978243.4082031,-1229449754.333496,-1229920643.4631348,-1229400072.7844238,-1229888459.0148926,-1229366228.0273438,-1229863043.5180664,-1229326763.7634277,-1229827155.303955,-1229298410.7971191,-1229797780.6091309,-1229258818.8171387,-1229771471.0998535,-1229219482.269287,-1229742607.269287,-1229178102.2644043,-1229707229.9194336,-1229144257.5073242,-1229678238.3728027,-1229110029.6020508,-1229645926.208496,-1229076057.1289062,-1229621021.5759277,-1229036976.0131836,-1229593179.473877,-1229000704.650879,-1229560484.161377,-1228969669.6472168,-1229533025.2075195,-1228938762.3596191,-1229501734.7717285,-1228903512.72583,-1229476830.1391602,-1228868135.3759766,-1229450520.6298828,-1228836461.7919922,-1229426126.8615723,-1228805043.6401367,-1229402627.105713,-1228771454.3151855,-1229379893.6462402,-1228740163.8793945,-1229355116.7297363,-1228710022.8881836,-1229330850.6774902,-1228680775.9094238,-1229307734.0698242,-1228651528.930664,-1229285128.326416
14/04/21 11:46:36,-1229523701.9348145,-1228153563.9953613,-1229541326.751709,-1228166335.6018066,-1229564315.6433105,-1228196859.741211,-1229592668.6096191,-1228205799.8657227,-1229615912.9333496,-1228219976.348877,-1229633665.4663086,-1228231853.942871,-1229657037.5061035,-1228239644.6228027,-1229683091.583252,-1228253693.3898926,-1229706080.4748535,-1228265698.6999512,-1229732134.552002,-1228274894.2565918,-1229755634.3078613,-1228284856.1096191,-1229776579.7424316,-1228293029.9377441,-1229799951.7822266,-1228302608.6425781,-1229823451.538086,-1228312570.4956055,-1229844269.2565918,-1228318828.5827637,-1229867896.7285156,-1228327002.4108887,-1229891651.916504,-1228330067.5964355,-1229915407.1044922,-1228336836.5478516,-1229936863.4033203,-1228343350.0671387,-1229958191.986084,-1228348458.7097168,-1229979648.284912,-1228353950.5004883,-1229998422.5463867,-1228358165.1306152,-1230018090.8203125,-1228361868.8964844,-1230037759.0942383,-1228365444.946289,-1230057171.9360352,-1228368637.8479004
14/04/21 12:01:36,-1229234935.913086,-1228100944.9768066,-1229240938.5681152,-1228076551.208496,-1229241832.5805664,-1228069782.25708,-1229237362.5183105,-1228065823.059082,-1229238128.8146973,-1228056116.6381836,-1229233786.4685059,-1228055733.4899902,-1229229316.40625,-1228056372.0703125,-1229227400.6652832,-1228044239.0441895,-1229225995.7885742,-1228031212.0056152,-1229229699.5544434,-1228021633.3007812,-1229228166.96167,-1228008350.8300781,-1229231998.4436035,-1227992130.8898926,-1229236085.357666,-1227977954.4067383,-1229237362.5183105,-1227966715.3930664,-1229238767.3950195,-1227956114.9597168,-1229240299.987793,-1227945386.8103027,-1229240555.4199219,-1227935424.9572754,-1229239405.9753418,-1227926101.6845703,-1229239533.6914062,-1227911797.4853516,-1229242471.1608887,-1227901963.3483887,-1229243492.8894043,-1227888808.59375,-1229246813.50708,-1227877186.4318848,-1229249240.1123047,-1227865691.986084,-1229251155.8532715,-1227853942.1081543,-1229253199.3103027,-1227841298.2177734
14/04/21 12:16:36,-1229398157.043457,-1227504510.9558105,-1229409268.3410645,-1227518559.7229004,-1229415143.2800293,-1227504894.104004,-1229436855.0109863,-1227498252.8686523,-1229448349.456787,-1227498891.4489746,-1229459460.7543945,-1227491994.7814941,-1229476191.558838,-1227479478.6071777,-1229485259.399414,-1227462492.3706055,-1229499691.3146973,-1227455978.8513184,-1229511441.192627,-1227449593.0480957,-1229526000.8239746,-1227435799.7131348,-1229535451.8127441,-1227434522.5524902,-1229544775.0854492,-1227431329.650879,-1229556908.1115723,-1227416897.7355957,-1229571850.8911133,-1227405658.7219238,-1229586793.6706543,-1227395186.0046387,-1229599309.8449707,-1227384841.003418,-1229613486.328125,-1227372963.4094238,-1229627662.8112793,-1227366194.4580078,-1229639284.9731445,-1227356232.6049805,-1229652312.0117188,-1227348314.2089844,-1229664572.7539062,-1227340778.9611816,-1229676450.3479004,-1227330178.527832,-1229689732.8186035,-1227322387.8479004,-1229702632.1411133,-1227314086.303711
14/04/21 12:31:36,-1229423317.1081543,-1227346526.184082,-1229432384.9487305,-1227327241.0583496,-1229436344.1467285,-1227325325.3173828,-1229445539.7033691,-1227322770.9960938,-1229459843.902588,-1227313192.2912598,-1229469294.8913574,-1227309871.673584,-1229473381.80542,-1227310254.8217773,-1229482705.078125,-1227304507.598877,-1229486791.9921875,-1227301186.9812012,-1229493816.3757324,-1227296716.9189453,-1229505949.4018555,-1227290841.9799805,-1229518210.144043,-1227271812.286377,-1229535962.677002,-1227256741.7907715,-1229548606.5673828,-1227244736.480713,-1229558823.852539,-1227231837.1582031,-1229569041.1376953,-1227222386.1694336,-1229578108.9782715,-1227216128.0822754,-1229587176.8188477,-1227207571.105957,-1229597649.5361328,-1227195310.3637695,-1229610676.574707,-1227179856.7199707,-1229622809.60083,-1227167851.409912,-1229633154.6020508,-1227152908.630371,-1229645543.0603027,-1227142819.0612793,-1229655888.0615234,-1227130047.454834,-1229667382.5073242,-1227117275.8483887
14/04/21 12:46:36,-1229728813.9343262,-1227241288.1469727,-1229741074.6765137,-1227246652.2216797,-1229742862.701416,-1227223791.0461426,-1229760487.5183105,-1227212424.3164062,-1229767767.3339844,-1227203995.0561523,-1229780411.2243652,-1227177940.979004,-1229798546.9055176,-1227159166.7175293,-1229814255.9814453,-1227141286.4685059,-1229827538.4521484,-1227124811.0961914,-1229840948.638916,-1227106036.8347168,-1229854486.541748,-1227092371.2158203,-1229865470.123291,-1227077300.7202148,-1229876709.136963,-1227065295.4101562,-1229890502.4719238,-1227050097.1984863,-1229904423.5229492,-1227039113.6169434,-1229918600.0061035,-1227022510.5285645,-1229933925.933838,-1227005396.5759277,-1229948230.1330566,-1226991347.808838,-1229962789.7644043,-1226979087.0666504,-1229976327.6672363,-1226967720.336914,-1229989610.1379395,-1226953032.989502,-1230004936.0656738,-1226940261.3830566,-1230019240.2648926,-1226925701.751709,-1230034949.3408203,-1226910631.2561035,-1230050147.5524902,-1226895560.760498
14/04/21 13:01:36,-1226975000.152588,-1227136050.1098633,-1226973978.4240723,-1227109868.3166504,-1226978448.4863281,-1227114210.6628418,-1226977554.473877,-1227125321.9604492,-1226976532.7453613,-1227119702.4536133,-1226970402.3742676,-1227125960.5407715,-1226969380.645752,-1227122767.6391602,-1226968486.6333008,-1227128770.2941895,-1226962100.8300781,-1227129792.022705,-1226963633.4228516,-1227137199.5544434,-1226960057.3730469,-1227138348.9990234,-1226959035.6445312,-1227140392.4560547,-1226958013.9160156,-1227136944.1223145,-1226959674.2248535,-1227136177.8259277,-1226958524.7802734,-1227131835.4797363,-1226957503.0517578,-1227135411.529541,-1226953799.2858887,-1227137965.85083,-1226950223.236084,-1227139626.159668,-1226947796.6308594,-1227138093.5668945,-1226948052.0629883,-1227136560.974121,-1226946391.7541504,-1227138732.1472168,-1226943454.284668,-1227139626.159668,-1226943071.1364746,-1227140264.7399902,-1226941921.6918945,-1227142180.480957,-1226940516.8151855,-1227142435.913086
