"Date Heure, GMT+01:00",Température (K) pour la profondeur 2.1000 m,Température (K) pour la profondeur 2.1163 m,Température (K) pour la profondeur 2.1327 m,Température (K) pour la profondeur 2.1490 m,Température (K) pour la profondeur 2.1653 m,Température (K) pour la profondeur 2.1816 m,Température (K) pour la profondeur 2.1980 m,Température (K) pour la profondeur 2.2143 m,Température (K) pour la profondeur 2.2306 m,Température (K) pour la profondeur 2.2469 m,Température (K) pour la profondeur 2.2633 m,Température (K) pour la profondeur 2.2796 m,Température (K) pour la profondeur 2.2959 m,Température (K) pour la profondeur 2.3122 m,Température (K) pour la profondeur 2.3286 m,Température (K) pour la profondeur 2.3449 m,Température (K) pour la profondeur 2.3612 m,Température (K) pour la profondeur 2.3776 m,Température (K) pour la profondeur 2.3939 m,Température (K) pour la profondeur 2.4102 m,Température (K) pour la profondeur 2.4265 m,Température (K) pour la profondeur 2.4429 m,Température (K) pour la profondeur 2.4592 m,Température (K) pour la profondeur 2.4755 m,Température (K) pour la profondeur 2.4918 m,Température (K) pour la profondeur 2.5082 m,Température (K) pour la profondeur 2.5245 m,Température (K) pour la profondeur 2.5408 m,Température (K) pour la profondeur 2.5571 m,Température (K) pour la profondeur 2.5735 m,Température (K) pour la profondeur 2.5898 m,Température (K) pour la profondeur 2.6061 m,Température (K) pour la profondeur 2.6224 m,Température (K) pour la profondeur 2.6388 m,Température (K) pour la profondeur 2.6551 m,Température (K) pour la profondeur 2.6714 m,Température (K) pour la profondeur 2.6878 m,Température (K) pour la profondeur 2.7041 m,Température (K) pour la profondeur 2.7204 m,Température (K) pour la profondeur 2.7367 m,Température (K) pour la profondeur 2.7531 m,Température (K) pour la profondeur 2.7694 m,Température (K) pour la profondeur 2.7857 m,Température (K) pour la profondeur 2.8020 m,Température (K) pour la profondeur 2.8184 m,Température (K) pour la profondeur 2.8347 m,Température (K) pour la profondeur 2.8510 m,Température (K) pour la profondeur 2.8673 m,Température (K) pour la profondeur 2.8837 m,Température (K) pour la profondeur 2.9000 m
14/04/21 10:46:36,293.954,293.98837,294.02274,294.0571,294.09146,294.12582,294.16022,294.19458,294.22894,294.2633,294.29767,294.33203,294.3664,294.4008,294.43515,294.4695,294.50388,294.53824,294.5726,294.607,294.64136,294.67572,294.71008,294.74445,294.7788,294.81317,294.84756,294.88193,294.9163,294.95065,294.98502,295.01938,295.05374,295.08813,295.1225,295.15686,295.19122,295.2256,295.25995,295.2943,295.3287,295.36307,295.39743,295.4318,295.46616,295.50052,295.5349,295.56927,295.60364,295.638
14/04/21 11:01:36,293.933,293.9463,293.9919,294.03458,294.075,294.11383,294.15143,294.1882,294.2243,294.26,294.29535,294.3304,294.36533,294.40005,294.4347,294.46924,294.50372,294.53818,294.5726,294.607,294.6414,294.67575,294.71008,294.7444,294.77863,294.81284,294.847,294.88104,294.915,294.94882,294.98245,295.01578,295.04874,295.08118,295.11295,295.14377,295.17328,295.20102,295.22638,295.24838,295.2659,295.2773,295.2803,295.2719,295.2479,295.20264,295.12836,295.0145,294.84662,294.605
14/04/21 11:16:36,293.885,293.90384,293.954,294.00183,294.0474,294.09094,294.13272,294.17307,294.21222,294.2504,294.28775,294.3245,294.3607,294.39645,294.4319,294.46704,294.50195,294.5367,294.57135,294.60583,294.6402,294.67444,294.7085,294.74237,294.77606,294.8095,294.84262,294.8753,294.90744,294.93887,294.96942,294.99878,295.0266,295.0525,295.07587,295.09598,295.11194,295.1227,295.1269,295.12277,295.10834,295.08118,295.0385,294.97717,294.8938,294.78503,294.648,294.4812,294.2856,294.067
14/04/21 11:31:36,293.782,293.82257,293.88733,293.94662,294.0015,294.0527,294.10095,294.14673,294.1904,294.23236,294.2729,294.31223,294.3506,294.38812,294.42496,294.46118,294.49692,294.5322,294.56708,294.6016,294.6357,294.66946,294.7028,294.73563,294.7678,294.79926,294.82983,294.85934,294.8875,294.91403,294.93848,294.96042,294.97928,294.99435,295.00482,295.0097,295.00797,294.9983,294.97934,294.9496,294.90735,294.851,294.77884,294.68942,294.58136,294.45377,294.30606,294.13776,293.94836,293.736
14/04/21 11:46:36,293.793,293.8142,293.86682,293.9199,293.97223,294.0233,294.07272,294.12042,294.16647,294.2109,294.25388,294.2955,294.33588,294.37512,294.41336,294.4507,294.48724,294.52298,294.558,294.59235,294.62585,294.65857,294.6904,294.72116,294.75076,294.779,294.80557,294.83023,294.85263,294.87228,294.88873,294.9014,294.9096,294.91263,294.9096,294.89972,294.88196,294.85532,294.8187,294.7711,294.7114,294.63864,294.55197,294.4506,294.33392,294.20157,294.05325,293.8891,293.70975,293.517
14/04/21 12:01:36,293.724,293.76453,293.82718,293.88593,293.94165,293.99493,294.0461,294.09543,294.14304,294.18903,294.2335,294.27652,294.3182,294.3586,294.3978,294.4358,294.4727,294.50848,294.54315,294.57666,294.609,294.64,294.6696,294.69754,294.72366,294.74768,294.76935,294.7883,294.8041,294.8163,294.8244,294.82782,294.826,294.8182,294.8038,294.782,294.75214,294.71338,294.66507,294.6065,294.53708,294.45624,294.3636,294.2589,294.1421,294.01324,293.87286,293.7217,293.56076,293.391
14/04/21 12:16:36,293.763,293.77933,293.8275,293.87753,293.92798,293.97815,294.02756,294.07596,294.12317,294.16913,294.21378,294.2571,294.2991,294.33978,294.37906,294.417,294.45355,294.4887,294.5224,294.55453,294.58502,294.61374,294.64047,294.66504,294.68716,294.70667,294.72314,294.73624,294.74557,294.75076,294.75125,294.74658,294.73624,294.71973,294.69638,294.66577,294.62732,294.58054,294.52484,294.4599,294.3853,294.30078,294.20615,294.10132,293.98636,293.8614,293.72653,293.58203,293.4281,293.265
14/04/21 12:31:36,293.769,293.78894,293.83487,293.8809,293.92697,293.97314,294.01913,294.06473,294.1097,294.15393,294.19724,294.23944,294.28046,294.3202,294.35855,294.39545,294.43082,294.46454,294.49655,294.5267,294.55487,294.58084,294.60437,294.62527,294.64334,294.65823,294.6697,294.67737,294.6809,294.67987,294.67392,294.66266,294.64563,294.62238,294.59256,294.5557,294.51144,294.4595,294.39954,294.33133,294.2547,294.16962,294.07608,293.9742,293.8643,293.74677,293.62228,293.49173,293.3564,293.218
14/04/21 12:46:36,293.842,293.84085,293.872,293.9069,293.94424,293.9833,294.02338,294.06403,294.10483,294.1455,294.18573,294.2253,294.26395,294.3015,294.33783,294.37268,294.40598,294.43753,294.46716,294.49475,294.52008,294.5429,294.56305,294.5803,294.59436,294.60498,294.61185,294.6147,294.61316,294.607,294.59586,294.57935,294.55716,294.52902,294.4946,294.45364,294.40588,294.3511,294.2892,294.22012,294.14377,294.06018,293.96957,293.87213,293.7682,293.65808,293.5423,293.42133,293.2955,293.165
14/04/21 13:01:36,293.184,293.36877,293.53284,293.66245,293.76718,293.854,293.92776,293.99197,294.0491,294.10083,294.14838,294.19254,294.2339,294.27274,294.3093,294.34366,294.3758,294.4057,294.43332,294.45856,294.4812,294.50113,294.5181,294.5319,294.54227,294.549,294.5519,294.5507,294.54504,294.53476,294.51956,294.49918,294.4734,294.442,294.4048,294.36163,294.31238,294.25705,294.19556,294.12796,294.0545,293.9754,293.89102,293.8019,293.70874,293.61237,293.51398,293.415,293.31744,293.224
14/04/21 13:16:36,293.282,293.33383,293.42978,293.53064,293.6293,293.72223,293.80792,293.88602,293.95682,294.02097,294.07913,294.13196,294.18008,294.22397,294.26407,294.30066,294.33405,294.3643,294.3915,294.41565,294.4367,294.45456,294.46912,294.48026,294.48776,294.49152,294.4913,294.48694,294.4782,294.46497,294.44705,294.42422,294.39642,294.36346,294.32532,294.28198,294.2335,294.17987,294.1214,294.05826,293.99084,293.9196,293.84515,293.76825,293.68976,293.61078,293.53247,293.4562,293.3833,293.315
14/04/21 13:31:36,293.492,293.4988,293.5407,293.59152,293.64917,293.7112,293.77527,293.8394,293.90207,293.96228,294.01935,294.07285,294.12256,294.16846,294.2105,294.2488,294.28342,294.31445,294.3419,294.36584,294.38626,294.40308,294.4163,294.42575,294.43146,294.43326,294.43106,294.42477,294.41428,294.3995,294.38028,294.35666,294.32855,294.29602,294.2591,294.21796,294.17276,294.1238,294.07147,294.0162,293.95868,293.89963,293.83994,293.7808,293.7235,293.6697,293.6213,293.58066,293.5507,293.535
14/04/21 13:46:36,293.565,293.57297,293.6105,293.65128,293.69492,293.74112,293.78934,293.83887,293.88898,293.9388,293.98773,294.03503,294.08026,294.123,294.1629,294.19974,294.2333,294.26352,294.2903,294.3136,294.3333,294.34933,294.36163,294.37018,294.37488,294.37576,294.3727,294.36575,294.3548,294.33984,294.32095,294.29816,294.27155,294.24127,294.20755,294.17056,294.13065,294.08826,294.04382,293.9979,293.95114,293.90427,293.8581,293.81342,293.77106,293.73184,293.69632,293.66476,293.63675,293.611
