"Date Heure, GMT+01:00",Température (K) pour la profondeur 6.6500 m,Température (K) pour la profondeur 6.6678 m,Température (K) pour la profondeur 6.6855 m,Température (K) pour la profondeur 6.7033 m,Température (K) pour la profondeur 6.7210 m,Température (K) pour la profondeur 6.7388 m,Température (K) pour la profondeur 6.7565 m,Température (K) pour la profondeur 6.7743 m,Température (K) pour la profondeur 6.7920 m,Température (K) pour la profondeur 6.8098 m,Température (K) pour la profondeur 6.8276 m,Température (K) pour la profondeur 6.8453 m,Température (K) pour la profondeur 6.8631 m,Température (K) pour la profondeur 6.8808 m,Température (K) pour la profondeur 6.8986 m,Température (K) pour la profondeur 6.9163 m,Température (K) pour la profondeur 6.9341 m,Température (K) pour la profondeur 6.9518 m,Température (K) pour la profondeur 6.9696 m,Température (K) pour la profondeur 6.9873 m,Température (K) pour la profondeur 7.0051 m,Température (K) pour la profondeur 7.0229 m,Température (K) pour la profondeur 7.0406 m,Température (K) pour la profondeur 7.0584 m,Température (K) pour la profondeur 7.0761 m,Température (K) pour la profondeur 7.0939 m,Température (K) pour la profondeur 7.1116 m,Température (K) pour la profondeur 7.1294 m,Température (K) pour la profondeur 7.1471 m,Température (K) pour la profondeur 7.1649 m,Température (K) pour la profondeur 7.1827 m,Température (K) pour la profondeur 7.2004 m,Température (K) pour la profondeur 7.2182 m,Température (K) pour la profondeur 7.2359 m,Température (K) pour la profondeur 7.2537 m,Température (K) pour la profondeur 7.2714 m,Température (K) pour la profondeur 7.2892 m,Température (K) pour la profondeur 7.3069 m,Température (K) pour la profondeur 7.3247 m,Température (K) pour la profondeur 7.3424 m,Température (K) pour la profondeur 7.3602 m,Température (K) pour la profondeur 7.3780 m,Température (K) pour la profondeur 7.3957 m,Température (K) pour la profondeur 7.4135 m,Température (K) pour la profondeur 7.4312 m,Température (K) pour la profondeur 7.4490 m,Température (K) pour la profondeur 7.4667 m,Température (K) pour la profondeur 7.4845 m,Température (K) pour la profondeur 7.5022 m,Température (K) pour la profondeur 7.5200 m
17/05/18 12:15:00,288.081,294.54532,301.00964,307.47397,313.9383,320.40262,326.86697,333.3313,339.79562,346.25995,352.72427,359.1886,365.65292,372.11725,378.58157,385.0459,391.51022,397.97455,404.43887,410.9032,417.36752,423.83185,430.29617,436.7605,443.22482,449.68918,456.1535,462.61783,469.08215,475.54648,482.0108,488.47513,494.93945,501.40378,507.8681,514.33246,520.79675,527.2611,533.7254,540.18976,546.65405,553.1184,559.5827,566.04706,572.51135,578.9757,585.44,591.90436,598.36865,604.833
17/05/18 12:30:00,288.071,294.4562,300.93826,307.41553,313.8891,320.36,326.82898,333.2967,339.76346,346.22955,352.69522,359.16058,365.62576,372.09085,378.55594,385.02115,391.48648,397.95212,404.41818,410.88492,417.3526,423.82153,430.29233,436.76566,443.24265,449.72473,456.21396,462.71323,469.22653,475.75946,482.31998,488.91913,495.57248,502.30176,509.1376,516.1227,523.3171,530.80475,538.70374,547.17926,556.4631,566.87994,578.88525,593.1173,610.47107,632.201,660.0659,696.5312,745.05316,810.477
17/05/18 12:45:00,288.063,294.34573,300.84055,307.3307,313.8157,320.29648,326.77374,333.24823,339.72058,346.1913,352.66095,359.12976,365.59814,372.06644,378.53494,385.00397,391.47403,397.9455,404.4191,410.8955,417.3758,423.8612,430.35342,436.8546,443.36752,449.8957,456.4435,463.01657,469.62158,476.26672,482.9615,489.71667,496.5436,503.453,510.45248,517.5426,524.7098,531.9149,539.075,546.03424,552.5187,558.06696,561.9232,562.8756,559.0113,547.349,523.28925,479.79507,406.17587,286.287
17/05/18 13:00:00,288.072,294.32852,300.8052,307.28586,313.76654,320.2464,326.72504,333.20233,339.6783,346.1531,352.627,359.10043,365.57373,372.04727,378.52155,384.9971,391.47443,397.95422,404.4372,410.9241,417.41562,423.91248,430.4154,436.92468,443.44,449.9602,456.48248,463.0015,469.50815,475.9876,482.41678,488.76038,494.96616,500.95804,506.6271,511.81976,516.3233,519.84766,522.0044,522.2839,520.034,514.4461,504.56104,489.3147,467.66003,438.8241,402.79767,361.21497,318.87308,286.287
17/05/18 13:15:00,288.084,294.3344,300.8009,307.27283,313.74628,320.2208,326.69592,333.17133,339.6468,346.12216,352.59738,359.07245,365.5474,372.02225,378.49692,384.97125,391.44485,397.91702,404.38663,410.85178,417.3096,423.75598,430.18478,436.58734,442.95145,449.26025,455.49057,461.61105,467.57965,473.3408,478.82162,483.928,488.53976,492.5058,495.63934,497.71408,498.46182,497.574,494.70856,489.50488,481.6103,470.72034,456.63425,439.32285,418.9953,396.13376,371.428,345.47916,318.02972,286.287
17/05/18 13:30:00,288.09,294.3366,300.7974,307.26453,313.73315,320.20285,326.67322,333.14386,339.6144,346.08432,352.553,359.01965,365.48334,371.94272,378.3961,384.84097,391.27423,397.69144,404.0868,410.4526,416.77853,423.05118,429.25323,435.36227,441.3496,447.17914,452.80557,458.17273,463.2118,467.83948,471.9563,475.44543,478.172,479.98334,480.71112,480.17493,478.1886,474.56894,469.1474,461.7833,452.37814,440.8875,427.32715,411.76895,394.32397,375.11633,354.27008,331.971,308.749,286.287
17/05/18 13:45:00,288.104,294.34323,300.7947,307.25378,313.71408,320.17474,326.63492,333.0936,339.54962,346.00146,352.44736,358.88498,365.31146,371.72302,378.11484,384.48096,390.81357,397.1031,403.3372,409.50064,415.5745,421.53546,427.35504,432.99878,438.42532,443.58548,448.42148,452.8663,456.8431,460.2652,463.03607,465.05057,466.1965,466.3569,465.41342,463.2505,459.75995,454.84665,448.43314,440.46478,430.91342,419.78046,407.09952,392.9402,377.41513,360.69147,343.00128,324.6277,305.795,286.287
17/05/18 14:00:00,288.072,294.31262,300.75925,307.21054,313.65955,320.10513,326.5459,332.98013,339.4055,345.81906,352.21722,358.59546,364.9481,371.26828,377.5476,383.77557,389.93967,396.0245,402.0118,407.8797,413.60217,419.14865,424.48367,429.5661,434.3489,438.77896,442.79684,446.33688,449.32764,451.69257,453.351,454.21967,454.21442,453.25238,451.25464,448.14886,443.87234,438.37482,431.62158,423.59634,414.30396,403.773,392.0577,379.23883,365.42175,350.73096,335.30054,319.26892,302.80917,286.287
17/05/18 14:15:00,288.181,294.36502,300.76343,307.17377,313.58405,319.99008,326.38797,332.7735,339.14212,345.48846,351.80634,358.08844,364.32614,370.50906,376.6251,382.6598,388.59625,394.41486,400.0927,405.60358,410.91733,415.99997,420.81326,425.31464,429.4572,433.1899,436.4577,439.2022,441.36227,442.87473,443.67572,443.70193,442.89212,441.18872,438.53983,434.901,430.23724,424.52502,417.754,409.9286,401.06918,391.2128,380.4134,368.74127,356.28287,343.14078,329.4355,315.30597,300.89676,286.287
17/05/18 14:30:00,288.243,294.39157,300.74408,307.10403,313.4592,319.8048,326.13556,332.44556,338.72806,344.97543,351.1789,357.32837,363.41232,369.41745,375.3284,381.12772,386.79553,392.30923,397.6435,402.76996,407.6571,412.27032,416.5719,420.52103,424.074,427.1847,429.80493,431.88492,433.37415,434.2222,434.37964,433.7992,432.4369,430.25342,427.2154,423.2966,418.47943,412.7559,406.12863,398.61188,390.2319,381.02762,371.05057,360.3649,349.04678,337.18314,324.86923,312.20547,299.29843,286.287
