"Date Heure, GMT+01:00",Débit d'eau échangé (m/s)
17/05/19 16:45:00,-1.5068357228642526e-08
17/05/19 17:00:00,-1.4824802718749197e-08
17/05/19 17:15:00,-1.51505368251037e-08
17/05/19 17:30:00,-1.5416784293620367e-08
17/05/19 17:45:00,-1.544384176099811e-08
17/05/19 18:00:00,-1.5412554787985755e-08
17/05/19 18:15:00,-1.5621093751860826e-08
17/05/19 18:30:00,-1.5559290744704413e-08
17/05/19 18:45:00,-1.554374762235966e-08
17/05/19 19:00:00,-1.550272443751055e-08
17/05/19 19:15:00,-1.553975259582785e-08
17/05/19 19:30:00,-1.552491468714834e-08
17/05/19 19:45:00,-1.5593700553040435e-08
17/05/19 20:00:00,-1.5864982216839962e-08
17/05/19 20:15:00,-1.596743892662289e-08
17/05/19 20:30:00,-1.609796207446834e-08
17/05/19 20:45:00,-1.6239596334344242e-08
17/05/19 21:00:00,-1.6288071336134635e-08
17/05/19 21:15:00,-1.6373340017139526e-08
17/05/19 21:30:00,-1.6624177590074396e-08
17/05/19 21:45:00,-1.674285066144421e-08
17/05/19 22:00:00,-1.6967906191212023e-08
17/05/19 22:15:00,-1.70859735248996e-08
17/05/19 22:30:00,-1.7216695624711065e-08
17/05/19 22:45:00,-1.731818066730284e-08
17/05/19 23:00:00,-1.7553574593875965e-08
17/05/19 23:15:00,-1.7850608102776278e-08
17/05/19 23:30:00,-1.8062536355500924e-08
17/05/19 23:45:00,-1.8174024063455363e-08
17/05/20 00:00:00,-1.8331737905441514e-08
17/05/20 00:15:00,-1.843194574746576e-08
17/05/20 00:30:00,-1.8493480524739425e-08
17/05/20 00:45:00,-1.8565623705057988e-08
17/05/20 01:00:00,-1.8642969834559153e-08
17/05/20 01:15:00,-1.8832071901897507e-08
17/05/20 01:30:00,-1.8909384280618724e-08
17/05/20 01:45:00,-1.8972730941868576e-08
17/05/20 02:00:00,-1.921467429610857e-08
17/05/20 02:15:00,-1.9461383615748673e-08
17/05/20 02:30:00,-1.9488709313009167e-08
17/05/20 02:45:00,-1.9435734799344573e-08
17/05/20 03:00:00,-1.9452485844340117e-08
17/05/20 03:15:00,-1.949445049831411e-08
17/05/20 03:30:00,-1.948837358156652e-08
17/05/20 03:45:00,-1.9524764027778474e-08
17/05/20 04:00:00,-1.9467426781716313e-08
17/05/20 04:15:00,-1.9609730728120667e-08
17/05/20 04:30:00,-1.969117136013665e-08
17/05/20 04:45:00,-1.972937724303847e-08
17/05/20 05:00:00,-1.9812228302384938e-08
17/05/20 05:15:00,-1.9869867529109797e-08
17/05/20 05:30:00,-1.9933988681941628e-08
17/05/20 05:45:00,-1.9957990815555604e-08
17/05/20 06:00:00,-1.9939392359447083e-08
17/05/20 06:15:00,-1.987886477650136e-08
17/05/20 06:30:00,-1.9909212056745673e-08
17/05/20 06:45:00,-1.9834249798122983e-08
17/05/20 07:00:00,-1.9774091697399854e-08
17/05/20 07:15:00,-1.9592240718679932e-08
17/05/20 07:30:00,-1.949216787977548e-08
17/05/20 07:45:00,-1.937164917364953e-08
17/05/20 08:00:00,-1.9331062972582913e-08
17/05/20 08:15:00,-1.930900772606492e-08
17/05/20 08:30:00,-1.9290745001399046e-08
17/05/20 08:45:00,-1.9193894473801265e-08
17/05/20 09:00:00,-1.9046218824314565e-08
17/05/20 09:15:00,-1.8735221374299726e-08
17/05/20 09:30:00,-1.8568677262464917e-08
17/05/20 09:45:00,-1.858771270235593e-08
17/05/20 10:00:00,-1.8610540664099062e-08
17/05/20 10:15:00,-1.8468503171220618e-08
17/05/20 10:30:00,-1.8190878137147592e-08
17/05/20 10:45:00,-1.7943227348382607e-08
17/05/20 11:00:00,-1.7658482676097265e-08
17/05/20 11:15:00,-1.752873401983379e-08
17/05/20 11:30:00,-1.7604703472784422e-08
17/05/20 11:45:00,-1.723596554370488e-08
17/05/20 12:00:00,-1.7105678651319067e-08
17/05/20 12:15:00,-1.699264728927119e-08
17/05/20 12:30:00,-1.7047904421474414e-08
17/05/20 12:45:00,-1.6988753515079225e-08
17/05/20 13:00:00,-1.6738587405029648e-08
17/05/20 13:15:00,-1.651436853933319e-08
17/05/20 13:30:00,-1.61387170294347e-08
17/05/20 13:45:00,-1.5845847300965943e-08
17/05/20 14:00:00,-1.554099426925859e-08
17/05/20 14:15:00,-1.526702675391789e-08
17/05/20 14:30:00,-1.5197871405803198e-08
17/05/20 14:45:00,-1.4965698014179907e-08
17/05/20 15:00:00,-1.4805936032757927e-08
17/05/20 15:15:00,-1.4587024033119178e-08
17/05/20 15:30:00,-1.4224294631048906e-08
17/05/20 15:45:00,-1.4085649091555297e-08
17/05/20 16:00:00,-1.3823866495954462e-08
17/05/20 16:15:00,-1.3577258428654204e-08
17/05/20 16:30:00,-1.34699336129529e-08
17/05/20 16:45:00,-1.339621302776095e-08
17/05/20 17:00:00,-1.3159138667617754e-08
17/05/20 17:15:00,-1.3056681957834826e-08
17/05/20 17:30:00,-1.2972420471157875e-08
17/05/20 17:45:00,-1.2960906126124883e-08
17/05/20 18:00:00,-1.280597849984133e-08
17/05/20 18:15:00,-1.2689152839584494e-08
17/05/20 18:30:00,-1.274588701249968e-08
17/05/20 18:45:00,-1.2711175223500959e-08
17/05/20 19:00:00,-1.2705904772758458e-08
17/05/20 19:15:00,-1.2685292816172478e-08
17/05/20 19:30:00,-1.2863518250583184e-08
17/05/20 19:45:00,-1.3013174537945815e-08
17/05/20 20:00:00,-1.3118653718890982e-08
17/05/20 20:15:00,-1.3193985459736268e-08
17/05/20 20:30:00,-1.3255889719232528e-08
17/05/20 20:45:00,-1.3410883958897557e-08
17/05/20 21:00:00,-1.3487088779129408e-08
17/05/20 21:15:00,-1.3617510674635014e-08
17/05/20 21:30:00,-1.378418623687594e-08
17/05/20 21:45:00,-1.3899669859540609e-08
17/05/20 22:00:00,-1.4121167346559105e-08
17/05/20 22:15:00,-1.4360389322121137e-08
17/05/20 22:30:00,-1.4526127856129278e-08
17/05/20 22:45:00,-1.466144983197637e-08
17/05/20 23:00:00,-1.4859246277865168e-08
17/05/20 23:15:00,-1.5033410960541005e-08
17/05/20 23:30:00,-1.5187968216423542e-08
17/05/20 23:45:00,-1.5393217367432044e-08
17/05/21 00:00:00,-1.5619113113984895e-08
17/05/21 00:15:00,-1.5738187642000412e-08
17/05/21 00:30:00,-1.5932862140743964e-08
17/05/21 00:45:00,-1.617926947972137e-08
17/05/21 01:00:00,-1.6351519249724333e-08
17/05/21 01:15:00,-1.6499129174007976e-08
17/05/21 01:30:00,-1.6706426464452306e-08
17/05/21 01:45:00,-1.691241280354916e-08
17/05/21 02:00:00,-1.7067442570350977e-08
17/05/21 02:15:00,-1.7181413625166897e-08
17/05/21 02:30:00,-1.729333654054699e-08
17/05/21 02:45:00,-1.7438296140426246e-08
17/05/21 03:00:00,-1.7463809953710552e-08
17/05/21 03:15:00,-1.752625067297231e-08
17/05/21 03:30:00,-1.760346179935368e-08
17/05/21 03:45:00,-1.766234447586612e-08
17/05/21 04:00:00,-1.769561208675441e-08
17/05/21 04:15:00,-1.7733883694859287e-08
17/05/21 04:30:00,-1.778511027339391e-08
17/05/21 04:45:00,-1.7816162767303467e-08
17/05/21 05:00:00,-1.7862927137457518e-08
17/05/21 05:15:00,-1.795497794887524e-08
17/05/21 05:30:00,-1.7974750576854603e-08
17/05/21 05:45:00,-1.8056763195772874e-08
17/05/21 06:00:00,-1.796125559394568e-08
17/05/21 06:15:00,-1.78598380529138e-08
