"Date Heure, GMT+01:00",Flux d'énergie total (W/m2) pour la profondeur 6.6500 m,Flux d'énergie total (W/m2) pour la profondeur 6.6678 m,Flux d'énergie total (W/m2) pour la profondeur 6.6855 m,Flux d'énergie total (W/m2) pour la profondeur 6.7033 m,Flux d'énergie total (W/m2) pour la profondeur 6.7210 m,Flux d'énergie total (W/m2) pour la profondeur 6.7388 m,Flux d'énergie total (W/m2) pour la profondeur 6.7565 m,Flux d'énergie total (W/m2) pour la profondeur 6.7743 m,Flux d'énergie total (W/m2) pour la profondeur 6.7920 m,Flux d'énergie total (W/m2) pour la profondeur 6.8098 m,Flux d'énergie total (W/m2) pour la profondeur 6.8276 m,Flux d'énergie total (W/m2) pour la profondeur 6.8453 m,Flux d'énergie total (W/m2) pour la profondeur 6.8631 m,Flux d'énergie total (W/m2) pour la profondeur 6.8808 m,Flux d'énergie total (W/m2) pour la profondeur 6.8986 m,Flux d'énergie total (W/m2) pour la profondeur 6.9163 m,Flux d'énergie total (W/m2) pour la profondeur 6.9341 m,Flux d'énergie total (W/m2) pour la profondeur 6.9518 m,Flux d'énergie total (W/m2) pour la profondeur 6.9696 m,Flux d'énergie total (W/m2) pour la profondeur 6.9873 m,Flux d'énergie total (W/m2) pour la profondeur 7.0051 m,Flux d'énergie total (W/m2) pour la profondeur 7.0229 m,Flux d'énergie total (W/m2) pour la profondeur 7.0406 m,Flux d'énergie total (W/m2) pour la profondeur 7.0584 m,Flux d'énergie total (W/m2) pour la profondeur 7.0761 m,Flux d'énergie total (W/m2) pour la profondeur 7.0939 m,Flux d'énergie total (W/m2) pour la profondeur 7.1116 m,Flux d'énergie total (W/m2) pour la profondeur 7.1294 m,Flux d'énergie total (W/m2) pour la profondeur 7.1471 m,Flux d'énergie total (W/m2) pour la profondeur 7.1649 m,Flux d'énergie total (W/m2) pour la profondeur 7.1827 m,Flux d'énergie total (W/m2) pour la profondeur 7.2004 m,Flux d'énergie total (W/m2) pour la profondeur 7.2182 m,Flux d'énergie total (W/m2) pour la profondeur 7.2359 m,Flux d'énergie total (W/m2) pour la profondeur 7.2537 m,Flux d'énergie total (W/m2) pour la profondeur 7.2714 m,Flux d'énergie total (W/m2) pour la profondeur 7.2892 m,Flux d'énergie total (W/m2) pour la profondeur 7.3069 m,Flux d'énergie total (W/m2) pour la profondeur 7.3247 m,Flux d'énergie total (W/m2) pour la profondeur 7.3424 m,Flux d'énergie total (W/m2) pour la profondeur 7.3602 m,Flux d'énergie total (W/m2) pour la profondeur 7.3780 m,Flux d'énergie total (W/m2) pour la profondeur 7.3957 m,Flux d'énergie total (W/m2) pour la profondeur 7.4135 m,Flux d'énergie total (W/m2) pour la profondeur 7.4312 m,Flux d'énergie total (W/m2) pour la profondeur 7.4490 m,Flux d'énergie total (W/m2) pour la profondeur 7.4667 m,Flux d'énergie total (W/m2) pour la profondeur 7.4845 m,Flux d'énergie total (W/m2) pour la profondeur 7.5022 m,Flux d'énergie total (W/m2) pour la profondeur 7.5200 m
17/05/18 12:15:00,-1205618294.1973877,-1232671494.118042,-1259724694.0386963,-1286777893.9593506,-1313831093.880005,-1340884293.7991333,-1367937621.435852,-1394990821.3580322,-1422044021.2786865,-1449097221.1993408,-1476150421.119995,-1503203621.0406494,-1530256820.9613037,-1557310020.881958,-1584363220.8026123,-1611416420.7232666,-1638469620.643921,-1665522820.5645752,-1692576020.4852295,-1719629220.4058838,-1746682420.326538,-1773735620.2471924,-1800788820.1678467,-1827842020.088501,-1854895220.0076294,-1881948547.6443481,-1909001747.5665283,-1936054947.4871826,-1963108147.407837,-1990161347.3284912,-2017214547.2491455,-2044267747.1697998,-2071320947.090454,-2098374147.0111084,-2125427346.9302368,-2152480674.5684814,-2179533746.7730713,-2206587074.40979,-2233640146.61438,-2260693474.2510986,-2287746546.4556885,-2314799874.092407,-2341852946.296997,-2368906273.933716,-2395959346.1383057,-2423012673.7750244,-2450065745.9796143,-2477119073.616333,-2504172145.820923,-2531225473.454529
17/05/18 12:30:00,-1205576539.175537,-1232298566.364502,-1259425964.5882568,-1286533316.5560913,-1313625214.7719727,-1340705873.8816528,-1367778614.5232544,-1394845991.041504,-1421909408.3303833,-1448970015.8392334,-1476028835.3043823,-1503086377.5962524,-1530143153.5808716,-1557199546.407837,-1584255939.223877,-1611312842.897766,-1638370257.4266357,-1665428949.1004028,-1692489428.7802734,-1719552718.1869507,-1746619966.7617798,-1773692451.6483154,-1800772727.1488647,-1827863602.9902344,-1854969804.6276245,-1882097334.6690063,-1909254750.015564,-1936454183.5929565,-1963712366.067627,-1991052669.2756348,-2018508426.8291016,-2046125871.5529175,-2073970138.0912476,-2102132159.5073853,-2130740161.65448,-2159972690.0776367,-2190081215.5863647,-2221417082.0964355,-2254474291.169922,-2289944291.737793,-2328796951.3963013,-2372391413.013916,-2422633439.595581,-2482194317.7614746,-2554819417.161499,-2645758589.956787,-2762372561.5947266,-2914978659.4125977,-3118041627.169922,-3391839479.5029297
17/05/18 12:45:00,-1205542960.3774414,-1231836238.819275,-1259017016.4328003,-1286178264.6472778,-1313318056.5409546,-1340440095.8186035,-1367547447.673584,-1394643177.2961426,-1421729966.7346191,-1448809987.168335,-1475885409.78302,-1502957384.029358,-1530027570.2132568,-1557097373.2160034,-1584168070.1998901,-1611240938.3145142,-1638318148.7298584,-1665401234.02771,-1692493259.3779907,-1719597034.5167236,-1746717029.4766235,-1773858480.5847168,-1801028412.1776733,-1828235892.0411987,-1855492414.550354,-1882812794.684204,-1910215423.4508057,-1937723672.770813,-1965365640.045227,-1993175553.03656,-2021193131.3059692,-2049463586.246399,-2078034300.5222168,-2106950102.6619263,-2136242922.2036743,-2165915059.126343,-2195909681.817993,-2226063189.5669556,-2256028200.675293,-2285152606.7266846,-2312290044.024475,-2335509725.866577,-2351648419.3266907,-2355634578.9278564,-2339463052.6574707,-2290657396.2113037,-2189968963.5893555,-2007948403.5827637,-1699855969.5808105,-1198123360.9765625
17/05/18 13:00:00,-1205580639.3101807,-1231764209.2370605,-1258869122.649109,-1285990650.4588623,-1313112306.230835,-1340230513.7333374,-1367343612.619873,-1394451092.0043335,-1421553079.590271,-1448650086.2276,-1475743389.0630493,-1502834648.4022827,-1529925396.8395996,-1557017166.9615479,-1584112002.2157593,-1611212201.491333,-1638319808.2374878,-1665437759.9127197,-1692568993.9834595,-1719716703.3528442,-1746883697.7757568,-1774073042.4346924,-1801287802.5387573,-1828529127.5857544,-1855795740.4888306,-1883082788.1660156,-1910378520.9542236,-1937660588.8651733,-1964890932.9992065,-1992007484.0687256,-2018913562.0634766,-2045461528.710205,-2071432736.203003,-2096508791.3046265,-2120233879.3635864,-2141965210.7600098,-2160812611.536255,-2175562149.527771,-2184588265.9472427,-2185758116.0650406,-2176342678.378296,-2152957748.38739,-2111589223.3099365,-2047783903.9262695,-1957159837.1069336,-1836482177.050293,-1685712229.8312988,-1511688943.7670898,-1334487678.4765625,-1198114390.2331543
17/05/18 13:15:00,-1205630960.0698242,-1231788859.2763672,-1258851115.656128,-1285936116.5193481,-1313027503.4099731,-1340123360.4099731,-1367221771.7719727,-1394321332.6067505,-1421421148.892517,-1448520582.0410767,-1475619376.6123657,-1502717532.6018677,-1529815177.723877,-1556912439.7008667,-1584008935.394043,-1611104026.2387695,-1638196051.9542847,-1665282075.1088867,-1692357370.2693481,-1719414019.1289062,-1746440016.4921265,-1773418120.8579712,-1800322661.531067,-1827117367.4612427,-1853751152.6428833,-1880153518.3727417,-1906227401.1867676,-1931841637.6555786,-1956820236.2873535,-1980930627.7107544,-2003867955.6617432,-2025238218.5132751,-2044538473.3293152,-2061136401.295868,-2074250383.9634094,-2082933283.1810913,-2086062734.4000635,-2082347404.2885132,-2070355726.1532593,-2048578607.5224,-2015540030.9539795,-1969965893.184204,-1911015936.0822754,-1838568042.0289307,-1753497550.659912,-1657822223.3840332,-1554428820.2946777,-1445833013.3815918,-1330957436.5737305,-1198114303.5751953
17/05/18 13:30:00,-1205655992.807312,-1231798055.3206177,-1258836428.8480835,-1285901378.2437134,-1312972585.9977417,-1340048263.8563843,-1367126751.5091553,-1394206388.645752,-1421285642.6812134,-1448362214.7373047,-1475433678.2229614,-1502496584.8215942,-1529547103.078125,-1556579613.526245,-1583586964.1245728,-1610558809.9453735,-1637481996.3345337,-1664338004.598938,-1691102568.854309,-1717743504.8859253,-1744217517.2410889,-1770468538.9250488,-1796424155.3933716,-1821990495.923462,-1847047508.1171875,-1871444104.7232056,-1894990756.133606,-1917452338.2825317,-1938540852.836975,-1957907764.2328491,-1975136719.823059,-1989738824.331665,-2001149574.5945892,-2008730136.5757904,-2011776029.890565,-2009532198.0815277,-2001219573.2981873,-1986071475.1009216,-1963382525.4817505,-1932563949.7835083,-1893203603.321167,-1845115525.6361084,-1788365612.2406006,-1723254757.286255,-1650247716.8485107,-1569863911.4941406,-1482622503.855713,-1389301008.4841309,-1292116882.4863281,-1198113349.9394531
17/05/18 13:45:00,-1205714615.239746,-1231825770.564209,-1258825190.7265625,-1285856423.0310059,-1312892764.3496094,-1339930638.348755,-1366966468.9866333,-1393996041.6485596,-1421014503.150879,-1448015467.7217407,-1474991527.8701172,-1501932977.2315674,-1528827810.571289,-1555660191.1976318,-1582409940.0837402,-1609052152.7507935,-1635554134.0726929,-1661875781.437317,-1687965497.8447876,-1713759553.3190918,-1739178636.5980835,-1764125300.8154907,-1788480259.7408447,-1812099322.5974731,-1834809434.8753662,-1856404719.1221924,-1876643409.7435913,-1895245043.2419434,-1911888031.5782166,-1926209534.4230957,-1937805714.529358,-1946236463.1447449,-1951032296.6231766,-1951703679.6062813,-1947755329.123993,-1938703583.9165344,-1924095817.2026062,-1903533808.7158813,-1876693413.0026245,-1843346015.7752075,-1803373732.227539,-1756782434.1236572,-1703712861.0637207,-1644456201.6140137,-1579483978.4731445,-1509495558.6750488,-1435462216.9302979,-1358568775.5670166,-1279754101.0323486,-1198113046.4051514
17/05/18 14:00:00,-1205580640.9439087,-1231697671.5287476,-1258676785.3087769,-1285675450.3475952,-1312664537.097107,-1339639319.7775269,-1366593923.4796753,-1393521196.1525269,-1420411303.720398,-1447252113.2229004,-1474028426.531433,-1500721341.7735596,-1527307103.8804932,-1553757104.5948486,-1580036094.4710083,-1606100139.3928833,-1631896876.0249023,-1657361935.7670288,-1682418817.0304565,-1706975947.7937012,-1730924514.416809,-1754136545.8890991,-1776463636.6862793,-1797733626.147644,-1817749704.434082,-1836289518.5139465,-1853104405.8541565,-1867919522.1017761,-1880435884.5080872,-1890333181.6569366,-1897273860.3380737,-1900909255.8726997,-1900887382.765236,-1896861363.9180908,-1888500925.0460815,-1875503378.2438965,-1857606265.8654785,-1834599238.1133423,-1806337080.0771484,-1772751589.3464355,-1733863070.4690552,-1689791190.8620605,-1640762771.5749512,-1587115874.400879,-1529291500.665039,-1467810602.7191162,-1403234364.2336426,-1336142103.2747803,-1267258085.9678955,-1198112739.5969238
17/05/18 14:15:00,-1206036848.5430908,-1231916965.3972168,-1258694286.9910278,-1285521556.5837402,-1312348571.5753174,-1339157834.449463,-1365932997.5513916,-1392656436.097229,-1419309120.453003,-1445868572.6759033,-1472308866.503662,-1498599477.9223633,-1524704263.4440918,-1550579799.7857056,-1576175383.8780518,-1601430606.268921,-1626274712.5250854,-1650625581.524414,-1674387426.558838,-1697450412.1845093,-1719688483.0440063,-1740959363.8586426,-1761103026.840271,-1779941308.5226135,-1797278037.4681702,-1812899417.403717,-1826575176.639679,-1838060994.6599731,-1847100928.7175903,-1853430606.697075,-1856782846.5994263,-1856892637.4576416,-1853503652.8340302,-1846375019.7512512,-1835289492.5094604,-1820061115.6502075,-1800543397.7734985,-1776637868.5268555,-1748301230.7282104,-1715552001.6279907,-1678475493.8826904,-1637226625.3538818,-1592031196.3328857,-1543183462.9639893,-1491045115.482788,-1436045533.5482178,-1378688938.3138428,-1319556947.501587,-1259254427.4675293,-1198112543.0880127
17/05/18 14:30:00,-1206296371.2298584,-1232028082.5532837,-1258613319.9528809,-1285229730.796692,-1311826091.0917358,-1338382476.776001,-1364876665.3122559,-1391284007.5738525,-1417576278.3998413,-1443721548.8792114,-1469683036.9107666,-1495418596.3343506,-1520879950.6438599,-1546011415.8311768,-1570748750.9290771,-1595018902.5807495,-1618738727.8931885,-1641813589.543396,-1664137483.4925537,-1685591761.835022,-1706044494.197754,-1725350850.8818665,-1743352975.149994,-1759880110.9313354,-1774749369.0959167,-1787767643.183197,-1798733397.4316254,-1807438199.3447876,-1813670678.8673096,-1817219849.0058746,-1817878809.5745602,-1815449728.108879,-1809748565.350708,-1800610822.4650269,-1787896777.4046326,-1771496721.259552,-1751336960.9245605,-1727384033.7497559,-1699649049.8911743,-1668191523.8214111,-1633121417.8035278,-1594601568.5214233,-1552847687.111206,-1508128231.4752197,-1460761979.7406006,-1411112666.2773438,-1359579019.9458008,-1306581226.0177002,-1252565267.0131836,-1198112378.8527832
