"Date Heure, GMT+01:00",Pression différentielle (m),Temperature (K)
17/05/19 16:45:00,0.8259433070866139,286.78099999999995
17/05/19 17:00:00,0.8255236220472439,286.78799999999995
17/05/19 17:15:00,0.8262669291338582,286.801
17/05/19 17:30:00,0.826891338582677,286.773
17/05/19 17:45:00,0.8270283464566929,286.787
17/05/19 18:00:00,0.8270456692913386,286.801
17/05/19 18:15:00,0.8275535433070864,286.807
17/05/19 18:30:00,0.8275094488188975,286.834
17/05/19 18:45:00,0.8275590551181101,286.862
17/05/19 19:00:00,0.827555905511811,286.883
17/05/19 19:15:00,0.827711811023622,286.88
17/05/19 19:30:00,0.8277614173228345,286.871
17/05/19 19:45:00,0.8279818897637794,286.859
17/05/19 20:00:00,0.8286173228346456,286.847
17/05/19 20:15:00,0.8289094488188977,286.832
17/05/19 20:30:00,0.829259842519685,286.828
17/05/19 20:45:00,0.8296338582677164,286.819
17/05/19 21:00:00,0.8298181102362204,286.785
17/05/19 21:15:00,0.8300779527559056,286.734
17/05/19 21:30:00,0.8306771653543307,286.679
17/05/19 21:45:00,0.8310078740157478,286.619
17/05/19 22:00:00,0.8315574803149606,286.577
17/05/19 22:15:00,0.8318897637795274,286.486
17/05/19 22:30:00,0.8322488188976376,286.477
17/05/19 22:45:00,0.8325488188976377,286.392
17/05/19 23:00:00,0.8331236220472439,286.318
17/05/19 23:15:00,0.8338267716535431,286.261
17/05/19 23:30:00,0.8343582677165353,286.214
17/05/19 23:45:00,0.8346858267716534,286.17499999999995
17/05/20 00:00:00,0.8351086614173227,286.131
17/05/20 00:15:00,0.835414960629921,286.09099999999995
17/05/20 00:30:00,0.8356425196850393,286.042
17/05/20 00:45:00,0.8358921259842519,285.981
17/05/20 01:00:00,0.8361527559055117,285.955
17/05/20 01:15:00,0.8366425196850391,285.92
17/05/20 01:30:00,0.8369047244094487,285.88
17/05/20 01:45:00,0.8371385826771653,285.839
17/05/20 02:00:00,0.8377385826771653,285.876
17/05/20 02:15:00,0.8383503937007872,285.908
17/05/20 02:30:00,0.8385149606299211,285.883
17/05/20 02:45:00,0.8385149606299211,285.842
17/05/20 03:00:00,0.8386566929133857,285.784
17/05/20 03:15:00,0.8388496062992126,285.726
17/05/20 03:30:00,0.8389440944881889,285.653
17/05/20 03:45:00,0.8391251968503936,285.578
17/05/20 04:00:00,0.8391141732283464,285.50199999999995
17/05/20 04:15:00,0.8395110236220471,285.46599999999995
17/05/20 04:30:00,0.8397842519685038,285.42
17/05/20 04:45:00,0.8399692913385827,285.375
17/05/20 05:00:00,0.8402456692913385,285.331
17/05/20 05:15:00,0.8404708661417322,285.271
17/05/20 05:30:00,0.8407094488188974,285.21599999999995
17/05/20 05:45:00,0.8408661417322834,285.181
17/05/20 06:00:00,0.8409354330708659,285.13899999999995
17/05/20 06:15:00,0.8409181102362203,285.1
17/05/20 06:30:00,0.8410858267716534,285.037
17/05/20 06:45:00,0.8410377952755903,284.97799999999995
17/05/20 07:00:00,0.8410188976377952,284.928
17/05/20 07:15:00,0.8407496062992124,284.893
17/05/20 07:30:00,0.8406456692913384,284.884
17/05/20 07:45:00,0.8404984251968505,284.88
17/05/20 08:00:00,0.8405133858267716,284.86
17/05/20 08:15:00,0.8405653543307088,284.846
17/05/20 08:30:00,0.8406244094488187,284.816
17/05/20 08:45:00,0.8405220472440945,284.798
17/05/20 09:00:00,0.8403141732283462,284.831
17/05/20 09:15:00,0.8397700787401574,284.851
17/05/20 09:30:00,0.8395181102362201,284.896
17/05/20 09:45:00,0.839644094488189,284.892
17/05/20 10:00:00,0.8397779527559053,284.866
17/05/20 10:15:00,0.8395740157480314,284.86499999999995
17/05/20 10:30:00,0.8390905511811023,285.01
17/05/20 10:45:00,0.8386653543307087,285.059
17/05/20 11:00:00,0.8381614173228343,285.086
17/05/20 11:15:00,0.837971653543307,285.125
17/05/20 11:30:00,0.8382015748031495,285.154
17/05/20 11:45:00,0.8375212598425195,285.21
17/05/20 12:00:00,0.8373251968503936,285.245
17/05/20 12:15:00,0.8371629921259842,285.20399999999995
17/05/20 12:30:00,0.8373440944881889,285.209
17/05/20 12:45:00,0.837291338582677,285.237
17/05/20 13:00:00,0.8368464566929134,285.318
17/05/20 13:15:00,0.8364519685039369,285.393
17/05/20 13:30:00,0.8357448818897637,285.48999999999995
17/05/20 13:45:00,0.8352031496062992,285.543
17/05/20 14:00:00,0.8346338582677165,285.637
17/05/20 14:15:00,0.8341244094488188,285.726
17/05/20 14:30:00,0.834031496062992,285.748
17/05/20 14:45:00,0.8336039370078739,285.804
17/05/20 15:00:00,0.8333220472440945,285.866
17/05/20 15:15:00,0.8329173228346456,285.953
17/05/20 15:30:00,0.832215748031496,286.027
17/05/20 15:45:00,0.8319692913385826,286.107
17/05/20 16:00:00,0.8314692913385826,286.219
17/05/20 16:15:00,0.8309976377952755,286.321
17/05/20 16:30:00,0.8308086614173227,286.369
17/05/20 16:45:00,0.8306874015748031,286.423
17/05/20 17:00:00,0.8302307086614171,286.504
17/05/20 17:15:00,0.830047244094488,286.544
17/05/20 17:30:00,0.8298999999999999,286.602
17/05/20 17:45:00,0.8299007874015747,286.629
17/05/20 18:00:00,0.829607874015748,286.682
17/05/20 18:15:00,0.8293913385826771,286.721
17/05/20 18:30:00,0.8295291338582675,286.75699999999995
17/05/20 18:45:00,0.8294803149606299,286.775
17/05/20 19:00:00,0.8294913385826771,286.828
17/05/20 19:15:00,0.8294708661417322,286.834
17/05/20 19:30:00,0.8298574803149604,286.826
17/05/20 19:45:00,0.8301874015748031,286.80499999999995
17/05/20 20:00:00,0.8304283464566928,286.808
17/05/20 20:15:00,0.8306086614173227,286.81
17/05/20 20:30:00,0.8307622047244094,286.81
17/05/20 20:45:00,0.831107086614173,286.807
17/05/20 21:00:00,0.8312921259842518,286.796
17/05/20 21:15:00,0.8315889763779528,286.775
17/05/20 21:30:00,0.8319614173228346,286.734
17/05/20 21:45:00,0.8322307086614172,286.683
17/05/20 22:00:00,0.8327181102362204,286.65
17/05/20 22:15:00,0.8332440944881888,286.607
17/05/20 22:30:00,0.8336220472440945,286.565
17/05/20 22:45:00,0.83393937007874,286.51399999999995
17/05/20 23:00:00,0.8343858267716534,286.467
17/05/20 23:15:00,0.8347858267716534,286.41
17/05/20 23:30:00,0.8351472440944882,286.354
17/05/20 23:45:00,0.8356141732283463,286.29999999999995
17/05/21 00:00:00,0.8361251968503938,286.241
17/05/21 00:15:00,0.8364196850393699,286.181
17/05/21 00:30:00,0.8368700787401574,286.118
17/05/21 00:45:00,0.837428346456693,286.053
17/05/21 01:00:00,0.8378370078740156,285.991
17/05/21 01:15:00,0.8381968503937007,285.928
17/05/21 01:30:00,0.8386803149606299,285.864
17/05/21 01:45:00,0.8391629921259842,285.798
17/05/21 02:00:00,0.8395433070866142,285.726
17/05/21 02:15:00,0.8398409448818899,285.668
17/05/21 02:30:00,0.840135433070866,285.60299999999995
17/05/21 02:45:00,0.8404984251968504,285.53799999999995
17/05/21 03:00:00,0.8406181102362202,285.473
17/05/21 03:15:00,0.8408133858267716,285.416
17/05/21 03:30:00,0.8410393700787401,285.357
17/05/21 03:45:00,0.8412283464566926,285.295
17/05/21 04:00:00,0.8413653543307087,285.245
17/05/21 04:15:00,0.8415125984251968,285.181
17/05/21 04:30:00,0.8416866141732282,285.118
17/05/21 04:45:00,0.84181968503937,285.06199999999995
17/05/21 05:00:00,0.8419850393700786,285.001
17/05/21 05:15:00,0.842243307086614,284.94199999999995
17/05/21 05:30:00,0.8423543307086612,284.87699999999995
17/05/21 05:45:00,0.8425929133858265,284.807
17/05/21 06:00:00,0.8424685039370078,284.734
17/05/21 06:15:00,0.8423307086614171,284.696
17/05/21 06:30:00,0.842447244094488,284.669
17/05/21 06:45:00,0.8424070866141732,284.644
17/05/21 07:00:00,0.8422653543307086,284.637
17/05/21 07:15:00,0.8420850393700786,284.637
17/05/21 07:30:00,0.8417338582677164,284.643
17/05/21 07:45:00,0.8412826771653542,284.679
17/05/21 08:00:00,0.8407496062992126,284.707
17/05/21 08:15:00,0.8401779527559055,284.746
17/05/21 08:30:00,0.8398409448818897,284.78
17/05/21 08:45:00,0.8393362204724408,284.819
17/05/21 09:00:00,0.8388740157480314,284.863
17/05/21 09:15:00,0.8383842519685039,284.904
17/05/21 09:30:00,0.8379488188976376,284.948
17/05/21 09:45:00,0.8376283464566927,284.997
17/05/21 10:00:00,0.8373251968503936,285.039
17/05/21 10:15:00,0.8366999999999998,285.097
17/05/21 10:30:00,0.8368228346456691,285.095
17/05/21 10:45:00,0.8365464566929133,285.133
17/05/21 11:00:00,0.8362220472440942,285.17499999999995
17/05/21 11:15:00,0.8361606299212598,285.19
17/05/21 11:30:00,0.8363976377952754,285.20399999999995
17/05/21 11:45:00,0.8362677165354327,285.23999999999995
17/05/21 12:00:00,0.8358015748031495,285.298
17/05/21 12:15:00,0.8349299212598423,285.402
17/05/21 12:30:00,0.8348110236220471,285.448
17/05/21 12:45:00,0.8341503937007874,285.534
17/05/21 13:00:00,0.8337401574803149,285.602
17/05/21 13:15:00,0.8331622047244094,285.676
17/05/21 13:30:00,0.8324007874015745,285.792
17/05/21 13:45:00,0.8319527559055118,285.89
17/05/21 14:00:00,0.831091338582677,286.02
17/05/21 14:15:00,0.8306937007874013,286.11499999999995
17/05/21 14:30:00,0.8299023622047245,286.25
17/05/21 14:45:00,0.8294417322834644,286.345
17/05/21 15:00:00,0.828975590551181,286.446
17/05/21 15:15:00,0.8285614173228346,286.529
17/05/21 15:30:00,0.8282637795275589,286.607
17/05/21 15:45:00,0.8278362204724408,286.706
17/05/21 16:00:00,0.827171653543307,286.844
17/05/21 16:15:00,0.8268527559055118,286.943
17/05/21 16:30:00,0.8263771653543305,287.059
17/05/21 16:45:00,0.8256157480314957,287.19199999999995
17/05/21 17:00:00,0.8252708661417322,287.321
17/05/21 17:15:00,0.8251070866141733,287.414
17/05/21 17:30:00,0.8250330708661417,287.483
17/05/21 17:45:00,0.8247866141732282,287.56199999999995
17/05/21 18:00:00,0.8242944881889761,287.65099999999995
17/05/21 18:15:00,0.8245283464566928,287.77
17/05/21 18:30:00,0.8243031496062991,287.83
17/05/21 18:45:00,0.8241456692913386,287.905
17/05/21 19:00:00,0.8242582677165354,287.957
17/05/21 19:15:00,0.8242700787401573,287.974
17/05/21 19:30:00,0.8244700787401574,288.008
17/05/21 19:45:00,0.8248401574803148,288.011
17/05/21 20:00:00,0.8252897637795275,288.006
17/05/21 20:15:00,0.8257937007874016,287.981
17/05/21 20:30:00,0.8262527559055117,287.938
17/05/21 20:45:00,0.8268669291338582,287.884
17/05/21 21:00:00,0.8275188976377951,287.824
17/05/21 21:15:00,0.8281370078740158,287.76
17/05/21 21:30:00,0.8286913385826771,287.688
17/05/21 21:45:00,0.8292307086614171,287.61499999999995
17/05/21 22:00:00,0.8299062992125982,287.53099999999995
17/05/21 22:15:00,0.8303488188976376,287.45399999999995
17/05/21 22:30:00,0.8309566929133857,287.36
17/05/21 22:45:00,0.8313779527559054,287.302
17/05/21 23:00:00,0.8318590551181101,287.246
17/05/21 23:15:00,0.8324566929133859,287.183
17/05/21 23:30:00,0.8328740157480314,287.099
17/05/21 23:45:00,0.8332181102362205,287.027
17/05/22 00:00:00,0.8337354330708658,286.949
17/05/22 00:15:00,0.8342070866141732,286.867
17/05/22 00:30:00,0.8345944881889762,286.785
17/05/22 00:45:00,0.8350102362204723,286.712
17/05/22 01:00:00,0.8354779527559055,286.644
17/05/22 01:15:00,0.8358645669291338,286.577
17/05/22 01:30:00,0.8362480314960627,286.509
17/05/22 01:45:00,0.8365897637795275,286.443
17/05/22 02:00:00,0.8370330708661416,286.39
17/05/22 02:15:00,0.8373480314960629,286.325
17/05/22 02:30:00,0.8376307086614172,286.268
17/05/22 02:45:00,0.8379866141732283,286.214
17/05/22 03:00:00,0.8382,286.157
17/05/22 03:15:00,0.8384866141732282,286.1
17/05/22 03:30:00,0.8387385826771652,286.039
17/05/22 03:45:00,0.8388834645669291,285.981
17/05/22 04:00:00,0.839095275590551,285.929
17/05/22 04:15:00,0.8392944881889763,285.876
17/05/22 04:30:00,0.839515748031496,285.825
17/05/22 04:45:00,0.839503149606299,285.78
17/05/22 05:00:00,0.8396244094488188,285.729
17/05/22 05:15:00,0.8397559055118108,285.679
17/05/22 05:30:00,0.8398007874015747,285.637
17/05/22 05:45:00,0.8398448818897636,285.59
17/05/22 06:00:00,0.8398937007874014,285.552
17/05/22 06:15:00,0.8398897637795275,285.508
17/05/22 06:30:00,0.839862992125984,285.47
17/05/22 06:45:00,0.8398023622047243,285.44199999999995
17/05/22 07:00:00,0.8397212598425196,285.42
17/05/22 07:15:00,0.8395614173228345,285.419
17/05/22 07:30:00,0.8392614173228344,285.439
17/05/22 07:45:00,0.8389031496062993,285.476
17/05/22 08:00:00,0.8383968503937007,285.504
17/05/22 08:15:00,0.8379976377952754,285.549
17/05/22 08:30:00,0.8376370078740156,285.569
17/05/22 08:45:00,0.837123622047244,285.614
17/05/22 09:00:00,0.8366590551181102,285.661
17/05/22 09:15:00,0.8361897637795274,285.695
17/05/22 09:30:00,0.8359354330708659,285.747
17/05/22 09:45:00,0.8355078740157479,285.797
17/05/22 10:00:00,0.835127559055118,285.846
17/05/22 10:15:00,0.8346448818897636,285.898
17/05/22 10:30:00,0.8344881889763779,285.935
17/05/22 10:45:00,0.8341062992125983,285.991
17/05/22 11:00:00,0.833767716535433,286.039
17/05/22 11:15:00,0.8333669291338581,286.095
17/05/22 11:30:00,0.8329897637795274,286.143
17/05/22 11:45:00,0.8325377952755905,286.194
17/05/22 12:00:00,0.8321811023622044,286.26399999999995
17/05/22 12:15:00,0.8318551181102363,286.334
17/05/22 12:30:00,0.8314062992125983,286.407
