"Date Heure, GMT+01:00","Temp., °C (SEN S/N: 21049722, LBL: T1)","Temp., °C (SEN S/N: 21049722, LBL: T2)","Temp., °C (SEN S/N: 21049722, LBL: T3)","Temp., °C (SEN S/N: 21049722, LBL: T4)"
17/05/18 13:30:00,287.511,287.248,286.864,286.287
17/05/18 13:45:00,287.487,287.248,286.864,286.287
17/05/18 14:00:00,287.487,287.248,286.864,286.287
17/05/18 14:15:00,287.487,287.248,286.864,286.287
17/05/18 14:30:00,287.464,287.224,286.864,286.287
17/05/18 14:45:00,287.464,287.224,286.864,286.287
17/05/18 15:00:00,287.464,287.2,286.864,286.287
17/05/18 15:15:00,287.464,287.2,286.864,286.287
17/05/18 15:30:00,287.44,287.2,286.864,286.287
17/05/18 15:45:00,287.44,287.2,286.864,286.287
17/05/18 16:00:00,287.44,287.2,286.864,286.287
17/05/18 16:15:00,287.44,287.2,286.864,286.287
17/05/18 16:30:00,287.44,287.2,286.84,286.287
17/05/18 16:45:00,287.44,287.2,286.84,286.287
17/05/18 17:00:00,287.44,287.176,286.84,286.287
17/05/18 17:15:00,287.44,287.2,286.84,286.287
17/05/18 17:30:00,287.44,287.2,286.84,286.287
17/05/18 17:45:00,287.464,287.176,286.84,286.287
17/05/18 18:00:00,287.464,287.176,286.84,286.287
17/05/18 18:15:00,287.464,287.2,286.84,286.287
17/05/18 18:30:00,287.464,287.176,286.84,286.311
17/05/18 18:45:00,287.487,287.2,286.84,286.311
17/05/18 19:00:00,287.487,287.176,286.84,286.311
17/05/18 19:15:00,287.511,287.2,286.84,286.311
17/05/18 19:30:00,287.535,287.2,286.84,286.311
17/05/18 19:45:00,287.511,287.2,286.84,286.311
17/05/18 20:00:00,287.535,287.2,286.84,286.311
17/05/18 20:15:00,287.559,287.2,286.84,286.311
17/05/18 20:30:00,287.559,287.2,286.84,286.311
17/05/18 20:45:00,287.559,287.2,286.84,286.311
17/05/18 21:00:00,287.559,287.224,286.84,286.335
17/05/18 21:15:00,287.559,287.224,286.84,286.335
17/05/18 21:30:00,287.559,287.224,286.84,286.335
17/05/18 21:45:00,287.559,287.224,286.84,286.335
17/05/18 22:00:00,287.559,287.224,286.864,286.335
17/05/18 22:15:00,287.559,287.224,286.864,286.335
17/05/18 22:30:00,287.559,287.224,286.864,286.335
17/05/18 22:45:00,287.535,287.224,286.864,286.335
17/05/18 23:00:00,287.535,287.224,286.864,286.335
17/05/18 23:15:00,287.511,287.248,286.864,286.359
17/05/18 23:30:00,287.511,287.224,286.864,286.359
17/05/18 23:45:00,287.511,287.224,286.864,286.359
17/05/19 00:00:00,287.487,287.224,286.864,286.359
17/05/19 00:15:00,287.464,287.224,286.864,286.359
17/05/19 00:30:00,287.464,287.224,286.864,286.359
17/05/19 00:45:00,287.44,287.2,286.864,286.359
17/05/19 01:00:00,287.416,287.224,286.864,286.359
17/05/19 01:15:00,287.392,287.2,286.864,286.359
17/05/19 01:30:00,287.392,287.2,286.864,286.359
17/05/19 01:45:00,287.368,287.2,286.864,286.359
17/05/19 02:00:00,287.344,287.176,286.864,286.359
17/05/19 02:15:00,287.32,287.176,286.864,286.359
17/05/19 02:30:00,287.296,287.176,286.864,286.383
17/05/19 02:45:00,287.272,287.152,286.864,286.383
17/05/19 03:00:00,287.272,287.128,286.864,286.383
17/05/19 03:15:00,287.248,287.128,286.864,286.359
17/05/19 03:30:00,287.224,287.128,286.84,286.359
17/05/19 03:45:00,287.2,287.104,286.84,286.383
17/05/19 04:00:00,287.176,287.104,286.84,286.359
17/05/19 04:15:00,287.152,287.08,286.84,286.359
17/05/19 04:30:00,287.128,287.08,286.84,286.359
17/05/19 04:45:00,287.104,287.056,286.816,286.359
17/05/19 05:00:00,287.08,287.056,286.816,286.359
17/05/19 05:15:00,287.056,287.032,286.816,286.383
17/05/19 05:30:00,287.032,287.008,286.792,286.359
17/05/19 05:45:00,286.984,287.008,286.792,286.359
17/05/19 06:00:00,286.984,286.984,286.792,286.359
17/05/19 06:15:00,286.936,286.984,286.792,286.359
17/05/19 06:30:00,286.912,286.96,286.792,286.359
17/05/19 06:45:00,286.888,286.936,286.768,286.359
17/05/19 07:00:00,286.864,286.936,286.768,286.359
17/05/19 07:15:00,286.84,286.912,286.768,286.359
17/05/19 07:30:00,286.816,286.888,286.744,286.335
17/05/19 07:45:00,286.792,286.888,286.744,286.359
17/05/19 08:00:00,286.768,286.864,286.744,286.335
17/05/19 08:15:00,286.744,286.84,286.72,286.335
17/05/19 08:30:00,286.72,286.816,286.72,286.335
17/05/19 08:45:00,286.696,286.816,286.696,286.335
17/05/19 09:00:00,286.647,286.792,286.696,286.335
17/05/19 09:15:00,286.623,286.768,286.672,286.311
17/05/19 09:30:00,286.599,286.768,286.672,286.311
17/05/19 09:45:00,286.575,286.744,286.672,286.311
17/05/19 10:00:00,286.575,286.72,286.647,286.311
17/05/19 10:15:00,286.527,286.696,286.647,286.287
17/05/19 10:30:00,286.503,286.696,286.623,286.287
17/05/19 10:45:00,286.503,286.672,286.623,286.287
17/05/19 11:00:00,286.479,286.647,286.599,286.287
17/05/19 11:15:00,286.455,286.647,286.599,286.287
17/05/19 11:30:00,286.431,286.623,286.575,286.287
17/05/19 11:45:00,286.407,286.599,286.575,286.262
17/05/19 12:00:00,286.383,286.575,286.575,286.262
17/05/19 12:15:00,286.383,286.575,286.551,286.262
17/05/19 12:30:00,286.359,286.551,286.551,286.262
17/05/19 12:45:00,286.335,286.551,286.527,286.238
17/05/19 13:00:00,286.335,286.527,286.527,286.238
17/05/19 13:15:00,286.311,286.503,286.503,286.238
17/05/19 13:30:00,286.311,286.503,286.503,286.214
17/05/19 13:45:00,286.287,286.479,286.479,286.214
17/05/19 14:00:00,286.287,286.479,286.479,286.214
17/05/19 14:15:00,286.262,286.455,286.479,286.214
17/05/19 14:30:00,286.262,286.431,286.455,286.19
17/05/19 14:45:00,286.262,286.431,286.455,286.19
17/05/19 15:00:00,286.262,286.407,286.455,286.19
17/05/19 15:15:00,286.238,286.407,286.431,286.19
17/05/19 15:30:00,286.238,286.407,286.431,286.166
17/05/19 15:45:00,286.238,286.383,286.407,286.166
17/05/19 16:00:00,286.238,286.383,286.407,286.166
17/05/19 16:15:00,286.238,286.383,286.407,286.142
17/05/19 16:30:00,286.238,286.359,286.383,286.142
17/05/19 16:45:00,286.238,286.359,286.383,286.142
17/05/19 17:00:00,286.238,286.359,286.359,286.118
17/05/19 17:15:00,286.238,286.359,286.359,286.118
17/05/19 17:30:00,286.238,286.335,286.359,286.118
17/05/19 17:45:00,286.238,286.335,286.335,286.118
17/05/19 18:00:00,286.262,286.335,286.335,286.118
17/05/19 18:15:00,286.262,286.335,286.335,286.094
17/05/19 18:30:00,286.262,286.335,286.335,286.094
17/05/19 18:45:00,286.262,286.335,286.311,286.094
17/05/19 19:00:00,286.262,286.335,286.311,286.094
17/05/19 19:15:00,286.262,286.335,286.311,286.094
17/05/19 19:30:00,286.287,286.311,286.311,286.07
17/05/19 19:45:00,286.287,286.311,286.311,286.07
17/05/19 20:00:00,286.287,286.311,286.287,286.07
17/05/19 20:15:00,286.287,286.311,286.287,286.07
17/05/19 20:30:00,286.287,286.311,286.287,286.046
17/05/19 20:45:00,286.287,286.311,286.287,286.046
17/05/19 21:00:00,286.287,286.311,286.287,286.046
17/05/19 21:15:00,286.287,286.311,286.287,286.046
17/05/19 21:30:00,286.287,286.311,286.287,286.021
17/05/19 21:45:00,286.287,286.311,286.287,286.021
17/05/19 22:00:00,286.311,286.311,286.262,286.021
17/05/19 22:15:00,286.287,286.311,286.262,286.021
17/05/19 22:30:00,286.287,286.311,286.262,286.021
17/05/19 22:45:00,286.287,286.311,286.262,286.021
17/05/19 23:00:00,286.287,286.311,286.262,286.021
17/05/19 23:15:00,286.287,286.311,286.262,286.021
17/05/19 23:30:00,286.287,286.311,286.262,285.997
17/05/19 23:45:00,286.287,286.311,286.238,285.997
17/05/20 00:00:00,286.287,286.287,286.238,285.997
17/05/20 00:15:00,286.262,286.287,286.238,285.997
17/05/20 00:30:00,286.262,286.287,286.238,285.997
17/05/20 00:45:00,286.262,286.287,286.238,285.997
17/05/20 01:00:00,286.238,286.287,286.238,285.997
17/05/20 01:15:00,286.214,286.287,286.238,285.997
17/05/20 01:30:00,286.214,286.287,286.214,285.997
17/05/20 01:45:00,286.19,286.262,286.214,285.973
17/05/20 02:00:00,286.19,286.262,286.214,285.973
17/05/20 02:15:00,286.19,286.262,286.214,285.973
17/05/20 02:30:00,286.166,286.238,286.214,285.973
17/05/20 02:45:00,286.142,286.238,286.214,285.973
17/05/20 03:00:00,286.142,286.238,286.214,285.973
17/05/20 03:15:00,286.118,286.238,286.19,285.949
17/05/20 03:30:00,286.118,286.214,286.19,285.949
17/05/20 03:45:00,286.094,286.214,286.19,285.949
17/05/20 04:00:00,286.07,286.19,286.19,285.949
17/05/20 04:15:00,286.07,286.19,286.19,285.949
17/05/20 04:30:00,286.046,286.19,286.19,285.949
17/05/20 04:45:00,286.021,286.19,286.166,285.949
17/05/20 05:00:00,286.021,286.166,286.166,285.949
17/05/20 05:15:00,285.997,286.142,286.166,285.949
17/05/20 05:30:00,285.997,286.142,286.142,285.949
17/05/20 05:45:00,285.973,286.142,286.142,285.92499999999995
17/05/20 06:00:00,285.949,286.118,286.142,285.92499999999995
17/05/20 06:15:00,285.92499999999995,286.118,286.142,285.92499999999995
17/05/20 06:30:00,285.92499999999995,286.094,286.142,285.92499999999995
17/05/20 06:45:00,285.87699999999995,286.094,286.118,285.92499999999995
17/05/20 07:00:00,285.85299999999995,286.07,286.118,285.90099999999995
17/05/20 07:15:00,285.85299999999995,286.07,286.118,285.90099999999995
17/05/20 07:30:00,285.828,286.07,286.094,285.90099999999995
17/05/20 07:45:00,285.804,286.046,286.094,285.87699999999995
17/05/20 08:00:00,285.78,286.021,286.094,285.87699999999995
17/05/20 08:15:00,285.756,286.021,286.07,285.87699999999995
17/05/20 08:30:00,285.756,285.997,286.07,285.85299999999995
17/05/20 08:45:00,285.732,285.997,286.07,285.85299999999995
17/05/20 09:00:00,285.732,285.973,286.046,285.85299999999995
17/05/20 09:15:00,285.708,285.973,286.046,285.85299999999995
17/05/20 09:30:00,285.684,285.949,286.046,285.85299999999995
17/05/20 09:45:00,285.659,285.949,286.021,285.828
17/05/20 10:00:00,285.659,285.92499999999995,286.021,285.828
17/05/20 10:15:00,285.635,285.92499999999995,286.021,285.828
17/05/20 10:30:00,285.611,285.90099999999995,285.997,285.828
17/05/20 10:45:00,285.611,285.87699999999995,285.997,285.828
17/05/20 11:00:00,285.587,285.85299999999995,285.997,285.804
17/05/20 11:15:00,285.563,285.85299999999995,285.973,285.804
17/05/20 11:30:00,285.563,285.828,285.973,285.804
17/05/20 11:45:00,285.539,285.828,285.973,285.78
17/05/20 12:00:00,285.539,285.804,285.949,285.78
17/05/20 12:15:00,285.51399999999995,285.804,285.949,285.78
17/05/20 12:30:00,285.51399999999995,285.78,285.92499999999995,285.78
17/05/20 12:45:00,285.51399999999995,285.78,285.92499999999995,285.756
17/05/20 13:00:00,285.51399999999995,285.756,285.90099999999995,285.756
17/05/20 13:15:00,285.48999999999995,285.756,285.90099999999995,285.756
17/05/20 13:30:00,285.48999999999995,285.756,285.87699999999995,285.756
17/05/20 13:45:00,285.48999999999995,285.732,285.87699999999995,285.732
17/05/20 14:00:00,285.46599999999995,285.732,285.85299999999995,285.732
17/05/20 14:15:00,285.46599999999995,285.708,285.85299999999995,285.732
17/05/20 14:30:00,285.46599999999995,285.708,285.85299999999995,285.708
17/05/20 14:45:00,285.46599999999995,285.708,285.828,285.708
17/05/20 15:00:00,285.46599999999995,285.708,285.828,285.708
17/05/20 15:15:00,285.46599999999995,285.708,285.828,285.708
17/05/20 15:30:00,285.46599999999995,285.684,285.804,285.708
17/05/20 15:45:00,285.48999999999995,285.684,285.804,285.684
17/05/20 16:00:00,285.48999999999995,285.684,285.804,285.684
17/05/20 16:15:00,285.48999999999995,285.684,285.804,285.684
17/05/20 16:30:00,285.48999999999995,285.684,285.78,285.659
17/05/20 16:45:00,285.48999999999995,285.659,285.78,285.659
17/05/20 17:00:00,285.51399999999995,285.659,285.78,285.659
17/05/20 17:15:00,285.51399999999995,285.659,285.78,285.659
17/05/20 17:30:00,285.539,285.659,285.756,285.635
17/05/20 17:45:00,285.539,285.659,285.756,285.635
17/05/20 18:00:00,285.563,285.659,285.756,285.635
17/05/20 18:15:00,285.563,285.659,285.756,285.611
17/05/20 18:30:00,285.587,285.684,285.756,285.611
17/05/20 18:45:00,285.611,285.684,285.732,285.611
17/05/20 19:00:00,285.635,285.684,285.732,285.611
17/05/20 19:15:00,285.635,285.684,285.732,285.611
17/05/20 19:30:00,285.659,285.684,285.732,285.611
17/05/20 19:45:00,285.684,285.684,285.732,285.611
17/05/20 20:00:00,285.708,285.708,285.732,285.587
17/05/20 20:15:00,285.708,285.708,285.732,285.587
17/05/20 20:30:00,285.732,285.708,285.732,285.587
17/05/20 20:45:00,285.732,285.708,285.732,285.587
17/05/20 21:00:00,285.756,285.732,285.732,285.587
17/05/20 21:15:00,285.756,285.732,285.732,285.587
17/05/20 21:30:00,285.78,285.732,285.732,285.587
17/05/20 21:45:00,285.78,285.756,285.732,285.587
17/05/20 22:00:00,285.804,285.756,285.732,285.563
17/05/20 22:15:00,285.804,285.756,285.732,285.563
17/05/20 22:30:00,285.828,285.78,285.732,285.563
17/05/20 22:45:00,285.828,285.78,285.732,285.563
17/05/20 23:00:00,285.828,285.78,285.732,285.563
17/05/20 23:15:00,285.85299999999995,285.78,285.732,285.563
17/05/20 23:30:00,285.85299999999995,285.804,285.732,285.563
17/05/20 23:45:00,285.85299999999995,285.804,285.756,285.563
17/05/21 00:00:00,285.85299999999995,285.804,285.756,285.563
17/05/21 00:15:00,285.85299999999995,285.804,285.756,285.563
