"Date Heure, GMT+01:00",Débit d'eau échangé (m/s)
17/05/19 18:45:00,-0.0038571699988096952
17/05/19 19:00:00,-0.0038570761680603027
17/05/19 19:15:00,-0.0038579211104661226
17/05/19 19:30:00,-0.003858046606183052
17/05/19 19:45:00,-0.0038591730408370495
17/05/19 20:00:00,-0.0038622089195996523
17/05/19 20:15:00,-0.0038634296506643295
17/05/19 20:30:00,-0.003865150734782219
17/05/19 20:45:00,-0.003866856452077627
17/05/19 21:00:00,-0.0038676701951771975
17/05/19 21:15:00,-0.0038689065258949995
17/05/19 21:30:00,-0.003871816908940673
17/05/19 21:45:00,-0.003873209934681654
17/05/19 22:00:00,-0.0038759170565754175
17/05/19 22:15:00,-0.0038773566484451294
17/05/19 22:30:00,-0.0038790933322161436
17/05/19 22:45:00,-0.003880423493683338
17/05/19 23:00:00,-0.0038832244463264942
17/05/19 23:15:00,-0.0038864638190716505
17/05/19 23:30:00,-0.003888936247676611
17/05/19 23:45:00,-0.0038903914391994476
17/05/20 00:00:00,-0.0038923476822674274
17/05/20 00:15:00,-0.003893802873790264
17/05/20 00:30:00,-0.003894851077347994
17/05/20 00:45:00,-0.003896024776622653
17/05/20 01:00:00,-0.003897214075550437
17/05/20 01:15:00,-0.0038995612412691116
17/05/20 01:30:00,-0.003900719340890646
17/05/20 01:45:00,-0.0039018148090690374
17/05/20 02:00:00,-0.0039046783931553364
17/05/20 02:15:00,-0.003907542210072279
17/05/20 02:30:00,-0.003908215090632439
17/05/20 02:45:00,-0.003908168058842421
17/05/20 03:00:00,-0.003908887971192598
17/05/20 03:15:00,-0.003909810911864042
17/05/20 03:30:00,-0.003910202533006668
17/05/20 03:45:00,-0.003911078441888094
17/05/20 04:00:00,-0.003910969011485577
17/05/20 04:15:00,-0.003912987653166056
17/05/20 04:30:00,-0.00391414575278759
17/05/20 04:45:00,-0.003915006294846535
17/05/20 05:00:00,-0.003916273824870586
17/05/20 05:15:00,-0.003917384892702103
17/05/20 05:30:00,-0.003918448928743601
17/05/20 05:45:00,-0.003919215872883797
17/05/20 06:00:00,-0.003919481765478849
17/05/20 06:15:00,-0.0039193881675601006
17/05/20 06:30:00,-0.003920232877135277
17/05/20 06:45:00,-0.003919951152056456
17/05/20 07:00:00,-0.0039198570884764194
17/05/20 07:15:00,-0.003918574191629887
17/05/20 07:30:00,-0.003918120637536049
17/05/20 07:45:00,-0.003917384892702103
17/05/20 08:00:00,-0.00391752552241087
17/05/20 08:15:00,-0.0039177448488771915
17/05/20 08:30:00,-0.003918057773262262
17/05/20 08:45:00,-0.00391752552241087
17/05/20 09:00:00,-0.003916540183126926
