"Date Heure, GMT+01:00",Débit d'eau échangé (m/s) - pour les meilleurs paramètres,Débit d'eau échangé (m/s) - quantile 5%,Débit d'eau échangé (m/s) - quantile 50%,Débit d'eau échangé (m/s) - quantile 95%
17/05/18 12:15:00,-0.0038026513066142797,-0.003873319597914815,-0.003866826882585883,-0.003750520758330822
17/05/18 12:30:00,-0.003624135395511985,-0.0036900993436574936,-0.003684977302327752,-0.003573927329853177
17/05/18 12:45:00,-0.003437842009589076,-0.0035007584374397993,-0.003495756071060896,-0.003390357829630375
17/05/18 13:00:00,-0.0034458227455615997,-0.0035102262627333403,-0.003503896528854966,-0.003398892702534795
17/05/18 13:15:00,-0.003442708868533373,-0.00350656034424901,-0.0035009209532290697,-0.0033955899998545647
17/05/18 13:30:00,-0.0034441796597093344,-0.003508233930915594,-0.003502273466438055,-0.0033971641678363085
17/05/18 13:45:00,-0.0034438353031873703,-0.0035078036598861217,-0.003501986851915717,-0.003396747400984168
17/05/18 14:00:00,-0.003443522145971656,-0.0035075645428150892,-0.0035016844049096107,-0.003396485233679414
17/05/18 14:15:00,-0.003445165464654565,-0.003509174333885312,-0.0035033556632697582,-0.00339809013530612
17/05/18 14:30:00,-0.0034460106398910284,-0.003510130802169442,-0.0035041989758610725,-0.0033989236690104008
17/05/18 14:45:00,-0.0034462609328329563,-0.0035103217232972383,-0.0035044695250689983,-0.003399139503017068
17/05/18 15:00:00,-0.003448561066761613,-0.003512664930894971,-0.003506744746118784,-0.003401439404115081
17/05/18 15:15:00,-0.0034592333249747753,-0.0035236631520092487,-0.00351764471270144,-0.0034120269119739532
17/05/18 15:30:00,-0.0034710478503257036,-0.0035356013104319572,-0.003529610810801387,-0.0034235867206007242
17/05/18 15:45:00,-0.003480483777821064,-0.0035452444572001696,-0.0035392381250858307,-0.003432908793911338
17/05/18 16:00:00,-0.0034894661512225866,-0.0035544256679713726,-0.0035483557730913162,-0.00344179873354733
17/05/18 16:15:00,-0.0034981663338840008,-0.003563207807019353,-0.003557171206921339,-0.0034503797069191933
17/05/18 16:30:00,-0.003506131237372756,-0.0035713529214262962,-0.003565366379916668,-0.0034582356456667185
17/05/18 16:45:00,-0.0035184468142688274,-0.003583896905183792,-0.0035777937155216932,-0.0034703819546848536
17/05/18 17:00:00,-0.003525973530486226,-0.0035915637854486704,-0.0035854794550687075,-0.0034777901601046324
17/05/18 17:15:00,-0.003533062059432268,-0.003598768264055252,-0.0035927353892475367,-0.0034847971983253956
17/05/18 17:30:00,-0.0035400569904595613,-0.0036058928817510605,-0.0035998006351292133,-0.0034916806034743786
17/05/18 17:45:00,-0.003547693369910121,-0.003613655222579837,-0.003607597667723894,-0.0034992278087884188
17/05/18 18:00:00,-0.003553749294951558,-0.0036198394373059273,-0.003613803768530488,-0.0035052006132900715
17/05/18 18:15:00,-0.0035621521528810263,-0.0036284627858549356,-0.003622284857556224,-0.0035134886857122183
17/05/18 18:30:00,-0.0035693664103746414,-0.003635746892541647,-0.0036296206526458263,-0.003520619124174118
17/05/18 18:45:00,-0.003575156209990382,-0.0036416284274309874,-0.00363552407361567,-0.003526329528540373
17/05/18 19:00:00,-0.0035840286873281,-0.0036507456097751856,-0.003644562093541026,-0.0035350958351045847
17/05/18 19:15:00,-0.0035436246544122696,-0.00360911269672215,-0.003603492397814989,-0.003494999138638377
17/05/18 19:30:00,-0.0035693973768502474,-0.00363601790741086,-0.0036295410245656967,-0.0035206961911171675
