Date/heure,Temperature,Tension
2017/05/18 15:00:00,19.778,2.49996
2017/05/18 15:15:00,19.923,1.41318
2017/05/18 15:30:00,20.247,0.89689
2017/05/18 15:45:00,15.499,0.68994
2017/05/18 16:00:00,15.533,0.70012
2017/05/18 16:15:00,15.554,0.72328
2017/05/18 16:30:00,15.613,0.75402
2017/05/18 16:45:00,15.697,0.81388
2017/05/18 17:00:00,15.776,0.8658
2017/05/18 17:15:00,15.794,0.91653
2017/05/18 17:30:00,15.812,0.99523
2017/05/18 17:45:00,15.797,0.85439
2017/05/18 18:00:00,15.772,0.79942
2017/05/18 18:15:00,15.752,0.7891199999999999
2017/05/18 18:30:00,15.749,0.7865300000000001
2017/05/18 18:45:00,15.733,0.73873
2017/05/18 19:00:00,15.755,0.74056
2017/05/18 19:15:00,16.175,0.7085100000000001
2017/05/18 19:30:00,16.304000000000002,0.69848
2017/05/18 19:45:00,16.522000000000002,0.71672
2017/05/18 20:00:00,16.311,0.69265
2017/05/18 20:15:00,15.737,0.6905899999999999
2017/05/18 20:30:00,15.497,0.6866899999999999
2017/05/18 20:45:00,15.409,0.68921
2017/05/18 21:00:00,15.317,0.68318
2017/05/18 21:15:00,15.22,0.6754
2017/05/18 21:30:00,15.128,0.6716300000000001
2017/05/18 21:45:00,15.042,0.67662
2017/05/18 22:00:00,14.958,0.66785
2017/05/18 22:15:00,14.889,0.66857
2017/05/18 22:30:00,14.822,0.6651
2017/05/18 22:45:00,14.765,0.66354
2017/05/18 23:00:00,14.722,0.66217
2017/05/18 23:15:00,14.679,0.66327
2017/05/18 23:30:00,14.628,0.65591
2017/05/18 23:45:00,14.569,0.6537
2017/05/19 00:00:00,14.496,0.65328
2017/05/19 00:15:00,14.418,0.65335
2017/05/19 00:30:00,14.334,0.6531600000000001
2017/05/19 00:45:00,14.241,0.65465
2017/05/19 01:00:00,14.156,0.65476
2017/05/19 01:15:00,14.068,0.65442
2017/05/19 01:30:00,13.984000000000002,0.65347
2017/05/19 01:45:00,13.904000000000002,0.65263
2017/05/19 02:00:00,13.831,0.65236
2017/05/19 02:15:00,13.765999999999998,0.66091
2017/05/19 02:30:00,13.703,0.65175
2017/05/19 02:45:00,13.648,0.64996
2017/05/19 03:00:00,13.599,0.6545
2017/05/19 03:15:00,13.559,0.65217
2017/05/19 03:30:00,13.514,0.6503800000000001
2017/05/19 03:45:00,13.467,0.65015
2017/05/19 04:00:00,13.413,0.6501100000000001
2017/05/19 04:15:00,13.353,0.6495
2017/05/19 04:30:00,13.285,0.66361
2017/05/19 04:45:00,13.222,0.64988
2017/05/19 05:00:00,13.162,0.65423
2017/05/19 05:15:00,13.126,0.65164
2017/05/19 05:30:00,13.06,0.65076
2017/05/19 05:45:00,12.993,0.64893
2017/05/19 06:00:00,12.942,0.6492
2017/05/19 06:15:00,12.892,0.64912
2017/05/19 06:30:00,12.84,0.64958
2017/05/19 06:45:00,12.794,0.6550699999999999
2017/05/19 07:00:00,12.755,0.64984
2017/05/19 07:15:00,12.716,0.64942
2017/05/19 07:30:00,12.683,0.6495
2017/05/19 07:45:00,12.65,0.64942
2017/05/19 08:00:00,12.628,0.6493899999999999
2017/05/19 08:15:00,12.607,0.64942
2017/05/19 08:30:00,12.58,0.64996
2017/05/19 08:45:00,12.559,0.64973
2017/05/19 09:00:00,12.557,0.64984
2017/05/19 09:15:00,12.582,0.65
2017/05/19 09:30:00,12.577,0.6581199999999999
2017/05/19 09:45:00,12.564,0.65057
2017/05/19 10:00:00,12.56,0.64969
2017/05/19 10:15:00,12.577,0.64958
2017/05/19 10:30:00,12.613,0.64973
2017/05/19 10:45:00,12.651,0.65007
2017/05/19 11:00:00,12.701,0.64931
2017/05/19 11:15:00,12.719,0.64946
2017/05/19 11:30:00,12.705,0.64923
2017/05/19 11:45:00,12.701,0.64988
2017/05/19 12:00:00,12.696,0.6501100000000001
2017/05/19 12:15:00,12.687,0.6825399999999999
2017/05/19 12:30:00,12.708,0.64893
2017/05/19 12:45:00,12.742,0.64893
2017/05/19 13:00:00,12.788,0.64878
2017/05/19 13:15:00,12.852,0.64874
2017/05/19 13:30:00,12.936,0.6564800000000001
2017/05/19 13:45:00,12.987,0.64851
2017/05/19 14:00:00,13.032,0.64836
2017/05/19 14:15:00,13.105,0.64836
2017/05/19 14:30:00,13.147,0.64866
