"Date Heure, GMT+01:00","Temp., °C (SEN S/N: 21049722, LBL: T1)","Temp., °C (SEN S/N: 21049722, LBL: T2)","Temp., °C (SEN S/N: 21049722, LBL: T3)","Temp., °C (SEN S/N: 21049722, LBL: T4)"
21/04/14 10:46:36,22.450,22.482,22.452,22.488
21/04/14 11:01:36,21.418,21.458,21.457,21.455
21/04/14 11:16:36,20.901,20.929,20.956,20.917
21/04/14 11:31:36,20.570,20.592,20.627,20.586
21/04/14 11:46:36,20.350,20.369,20.402,20.367
21/04/14 12:01:36,20.210,20.242,20.269,20.241
21/04/14 12:16:36,20.076,20.112,20.129,20.115
21/04/14 12:31:36,20.030,20.070,20.086,20.068
21/04/14 12:46:36,19.985,20.030,20.056,20.015
21/04/14 13:01:36,20.034,20.089,20.110,20.074
21/04/14 13:16:36,20.132,20.171,20.195,20.165
21/04/14 13:31:36,20.342,20.390,20.414,20.385
21/04/14 13:46:36,20.415,20.473,20.493,20.461
