"Date Heure, GMT+01:00",Débit d'eau échangé (m/s) - pour les meilleurs paramètres,Débit d'eau échangé (m/s) - quantile 5%,Débit d'eau échangé (m/s) - quantile 50%,Débit d'eau échangé (m/s) - quantile 95%
17/05/18 12:45:00,-0.004877043887972832,-0.004877043887972832,-0.004877043887972832,0.0
17/05/18 13:00:00,-0.004876826424151659,-0.004876826424151659,-0.004876826424151659,0.0
17/05/18 13:15:00,-0.0048773810267448425,-0.0048773810267448425,-0.0048773810267448425,0.0
17/05/18 13:30:00,-0.004877440165728331,-0.004877440165728331,-0.004877440165728331,0.0
17/05/18 13:45:00,-0.0048779151402413845,-0.0048779151402413845,-0.0048779151402413845,0.0
17/05/18 14:00:00,-0.004876886028796434,-0.004876886028796434,-0.004876886028796434,0.0
17/05/18 14:15:00,-0.004880192689597607,-0.004880192689597607,-0.004880192689597607,0.0
17/05/18 14:30:00,-0.004881855566054583,-0.004881855566054583,-0.004881855566054583,0.0
17/05/18 14:45:00,-0.004882350564002991,-0.004882350564002991,-0.004882350564002991,0.0
17/05/18 15:00:00,-0.00489278556779027,-0.00489278556779027,-0.00489278556779027,0.0
17/05/18 15:15:00,-0.0049533541314303875,-0.0049533541314303875,-0.0049533541314303875,0.0
17/05/18 15:30:00,-0.005021367687731981,-0.005021367687731981,-0.005021367687731981,0.0
17/05/18 15:45:00,-0.005076155066490173,-0.005076155066490173,-0.005076155066490173,0.0
17/05/18 16:00:00,-0.005126466974616051,-0.005126466974616051,-0.005126466974616051,0.0
17/05/18 16:15:00,-0.00517503684386611,-0.00517503684386611,-0.00517503684386611,0.0
17/05/18 16:30:00,-0.005219884682446718,-0.005219884682446718,-0.005219884682446718,0.0
17/05/18 16:45:00,-0.005291620269417763,-0.005291620269417763,-0.005291620269417763,0.0
17/05/18 17:00:00,-0.00533531978726387,-0.00533531978726387,-0.00533531978726387,0.0
17/05/18 17:15:00,-0.005375929642468691,-0.005375929642468691,-0.005375929642468691,0.0
17/05/18 17:30:00,-0.005413649138063192,-0.005413649138063192,-0.005413649138063192,0.0
17/05/18 17:45:00,-0.005457862745970488,-0.005457862745970488,-0.005457862745970488,0.0
17/05/18 18:00:00,-0.0054940772242844105,-0.0054940772242844105,-0.0054940772242844105,0.0
17/05/18 18:15:00,-0.005544845014810562,-0.005544845014810562,-0.005544845014810562,0.0
17/05/18 18:30:00,-0.005587415769696236,-0.005587415769696236,-0.005587415769696236,0.0
17/05/18 18:45:00,-0.0056225210428237915,-0.0056225210428237915,-0.0056225210428237915,0.0
17/05/18 19:00:00,-0.005675407592207193,-0.005675407592207193,-0.005675407592207193,0.0
17/05/18 19:15:00,-0.005433904472738504,-0.005433904472738504,-0.005433904472738504,0.0
17/05/18 19:30:00,-0.005528074223548174,-0.005528074223548174,-0.005528074223548174,0.0
17/05/18 19:45:00,-0.005719066597521305,-0.005719066597521305,-0.005719066597521305,0.0
17/05/18 20:00:00,-0.005779912695288658,-0.005779912695288658,-0.005779912695288658,0.0
17/05/18 20:15:00,-0.005853589624166489,-0.005853589624166489,-0.005853589624166489,0.0
17/05/18 20:30:00,-0.005916078574955463,-0.005916078574955463,-0.005916078574955463,0.0
17/05/18 20:45:00,-0.005981419235467911,-0.005981419235467911,-0.005981419235467911,0.0
17/05/18 21:00:00,-0.006015733350068331,-0.006015733350068331,-0.006015733350068331,0.0
17/05/18 21:15:00,-0.006066976115107536,-0.006066976115107536,-0.006066976115107536,0.0
17/05/18 21:30:00,-0.006126772612333298,-0.006126772612333298,-0.006126772612333298,0.0
17/05/18 21:45:00,-0.006169937085360289,-0.006169937085360289,-0.006169937085360289,0.0
17/05/18 22:00:00,-0.006211656145751476,-0.006211656145751476,-0.006211656145751476,0.0
17/05/18 22:15:00,-0.006251118145883083,-0.006251118145883083,-0.006251118145883083,0.0
