"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10759806, SEN S/N: 10759806)","Tension, V (LGR S/N: 10759806, SEN S/N: 10759806)"
03/09/16 01:30:00 AM,6.672,1.3217
03/09/16 01:45:00 AM,6.625,1.33566
03/09/16 02:00:00 AM,6.588,1.29805
03/09/16 02:15:00 AM,6.55,1.3175
03/09/16 02:30:00 AM,6.512,1.30327
03/09/16 02:45:00 AM,6.479,1.31609
03/09/16 03:00:00 AM,6.444,1.31098
03/09/16 03:15:00 AM,6.411,1.3159
03/09/16 03:30:00 AM,6.385,1.3143
03/09/16 03:45:00 AM,6.357,1.31395
03/09/16 04:00:00 AM,6.328,1.31807
03/09/16 04:15:00 AM,6.302,1.30652
03/09/16 04:30:00 AM,6.28,1.29892
03/09/16 04:45:00 AM,6.247,1.30976
03/09/16 05:00:00 AM,6.217,1.30747
03/09/16 05:15:00 AM,6.183,1.31304
03/09/16 05:30:00 AM,6.153,1.30022
03/09/16 05:45:00 AM,6.123,1.31609
03/09/16 06:00:00 AM,6.096,1.32025
03/09/16 06:15:00 AM,6.06,1.31559
03/09/16 06:30:00 AM,6.03,1.30507
03/09/16 06:45:00 AM,6.001,1.29988
03/09/16 07:00:00 AM,5.971,1.31498
03/09/16 07:15:00 AM,5.946,1.31636
03/09/16 07:30:00 AM,5.926,1.3154
03/09/16 07:45:00 AM,5.909,1.32509
03/09/16 08:00:00 AM,5.902,1.30224
03/09/16 08:15:00 AM,5.899,1.31456
03/09/16 08:30:00 AM,5.899,1.3051
03/09/16 08:45:00 AM,5.899,1.30869
03/09/16 09:00:00 AM,5.901,1.30827
03/09/16 09:15:00 AM,5.904,1.31533
03/09/16 09:30:00 AM,5.907,1.3106
03/09/16 09:45:00 AM,5.918,1.3246
03/09/16 10:00:00 AM,5.922,1.32555
03/09/16 10:15:00 AM,5.93,1.31121
03/09/16 10:30:00 AM,5.933,1.31167
03/09/16 10:45:00 AM,5.942,1.31231
03/09/16 11:00:00 AM,5.947,1.3098
03/09/16 11:15:00 AM,5.949,1.30835
03/09/16 11:30:00 AM,5.942,1.3193
03/09/16 11:45:00 AM,5.952,1.3175
03/09/16 12:00:00 PM,5.958,1.30167
03/09/16 12:15:00 PM,5.973,1.29427
03/09/16 12:30:00 PM,5.987,1.30304
03/09/16 12:45:00 PM,5.998,1.30217
03/09/16 01:00:00 PM,6.008,1.28687
03/09/16 01:15:00 PM,6.014,1.31456
03/09/16 01:30:00 PM,6.024,1.32143
03/09/16 01:45:00 PM,6.035,1.30423
03/09/16 02:00:00 PM,6.056,1.30625
03/09/16 02:15:00 PM,6.07,1.32029
03/09/16 02:30:00 PM,6.081,1.31044
03/09/16 02:45:00 PM,6.104,1.30285
03/09/16 03:00:00 PM,6.148,1.30976
03/09/16 03:15:00 PM,6.209,1.30949
03/09/16 03:30:00 PM,6.258,1.3043
03/09/16 03:45:00 PM,6.31,1.29351
03/09/16 04:00:00 PM,6.347,1.31098
03/09/16 04:15:00 PM,6.399,1.31647
03/09/16 04:30:00 PM,6.447,1.30358
03/09/16 04:45:00 PM,6.512,1.31109
03/09/16 05:00:00 PM,6.564,1.31407
03/09/16 05:15:00 PM,6.601,1.3164
03/09/16 05:30:00 PM,6.634,1.30156
03/09/16 05:45:00 PM,6.656,1.29301
03/09/16 06:00:00 PM,6.674,1.30369
03/09/16 06:15:00 PM,6.674,1.30529
03/09/16 06:30:00 PM,6.661,1.31342
03/09/16 06:45:00 PM,6.645,1.30686
03/09/16 07:00:00 PM,6.631,1.29355
03/09/16 07:15:00 PM,6.622,1.30858
03/09/16 07:30:00 PM,6.614,1.3212
03/09/16 07:45:00 PM,6.607,1.30781
03/09/16 08:00:00 PM,6.595,1.2874
03/09/16 08:15:00 PM,6.583,1.29442
03/09/16 08:30:00 PM,6.574,1.28176
03/09/16 08:45:00 PM,6.566,1.30053
03/09/16 09:00:00 PM,6.553,1.30747
03/09/16 09:15:00 PM,6.541,1.2977
03/09/16 09:30:00 PM,6.518,1.27028
03/09/16 09:45:00 PM,6.499,1.29805
03/09/16 10:00:00 PM,6.484,1.29553
03/09/16 10:15:00 PM,6.463,1.28641
03/09/16 10:30:00 PM,6.441,1.30289
03/09/16 10:45:00 PM,6.418,1.30072
03/09/16 11:00:00 PM,6.385,1.30083
03/09/16 11:15:00 PM,6.355,1.30739
03/09/16 11:30:00 PM,6.32,1.29126
03/09/16 11:45:00 PM,6.282,1.29759
03/10/16 12:00:00 AM,6.244,1.2866
03/10/16 12:15:00 AM,6.205,1.31106
03/10/16 12:30:00 AM,6.164,1.27939
03/10/16 12:45:00 AM,6.123,1.28653
03/10/16 01:00:00 AM,6.089,1.30285
03/10/16 01:15:00 AM,6.059,1.29847
03/10/16 01:30:00 AM,6.032,1.2977
03/10/16 01:45:00 AM,6.016,1.27447
03/10/16 02:00:00 AM,6.008,1.30922
03/10/16 02:15:00 AM,6.008,1.30346
03/10/16 02:30:00 AM,6.013,1.30339
03/10/16 02:45:00 AM,6.019,1.30182
03/10/16 03:00:00 AM,6.03,1.29633
03/10/16 03:15:00 AM,6.037,1.2966
03/10/16 03:30:00 AM,6.041,1.30243
03/10/16 03:45:00 AM,6.043,1.30018
03/10/16 04:00:00 AM,6.035,1.29938
03/10/16 04:15:00 AM,6.032,1.30438
03/10/16 04:30:00 AM,6.027,1.2921
03/10/16 04:45:00 AM,6.027,1.29892
03/10/16 05:00:00 AM,6.027,1.29717
03/10/16 05:15:00 AM,6.025,1.2932
03/10/16 05:30:00 AM,6.024,1.30735
03/10/16 05:45:00 AM,6.019,1.29492
03/10/16 06:00:00 AM,6.014,1.32029
03/10/16 06:15:00 AM,6.001,1.28985
03/10/16 06:30:00 AM,5.993,1.3125
03/10/16 06:45:00 AM,5.989,1.29606
03/10/16 07:00:00 AM,5.989,1.29572
03/10/16 07:15:00 AM,5.987,1.30983
03/10/16 07:30:00 AM,5.987,1.30789
03/10/16 07:45:00 AM,5.987,1.30472
03/10/16 08:00:00 AM,5.99,1.30968
03/10/16 08:15:00 AM,6.001,1.30579
03/10/16 08:30:00 AM,6.019,1.30514
03/10/16 08:45:00 AM,6.04,1.31147
03/10/16 09:00:00 AM,6.062,1.29179
03/10/16 09:15:00 AM,6.088,1.3043
03/10/16 09:30:00 AM,6.118,1.31235
03/10/16 09:45:00 AM,6.156,1.30789
03/10/16 10:00:00 AM,6.212,1.29675
03/10/16 10:15:00 AM,6.282,1.29873
03/10/16 10:30:00 AM,6.347,1.29152
03/10/16 10:45:00 AM,6.422,1.29885
03/10/16 11:00:00 AM,6.499,1.29759
03/10/16 11:15:00 AM,6.58,1.30755
03/10/16 11:30:00 AM,6.667,1.29534
03/10/16 11:45:00 AM,6.778,1.31659
03/10/16 12:00:00 PM,6.892,1.3204
03/10/16 12:15:00 PM,6.985,1.30896
03/10/16 12:30:00 PM,7.069,1.30831
03/10/16 12:45:00 PM,7.14,1.29877
03/10/16 01:00:00 PM,7.25,1.29812
03/10/16 01:15:00 PM,7.425,1.31018
03/10/16 01:30:00 PM,7.575,1.29919
03/10/16 01:45:00 PM,7.661,1.31659
03/10/16 02:00:00 PM,7.701,1.30072
03/10/16 02:15:00 PM,7.773,1.31586
03/10/16 02:30:00 PM,7.846,1.31491
03/10/16 02:45:00 PM,7.924,1.31136
03/10/16 03:00:00 PM,7.979,1.29572
03/10/16 03:15:00 PM,8.021,1.32395
03/10/16 03:30:00 PM,8.032,1.31292
03/10/16 03:45:00 PM,8.073,1.3098
03/10/16 04:00:00 PM,8.106,1.3175
03/10/16 04:15:00 PM,8.129,1.32017
03/10/16 04:30:00 PM,8.173,1.30972
03/10/16 04:45:00 PM,8.185,1.32544
03/10/16 05:00:00 PM,8.176,1.32609
03/10/16 05:15:00 PM,8.181,1.30941
03/10/16 05:30:00 PM,8.196,1.30694
03/10/16 05:45:00 PM,8.219,1.31224
03/10/16 06:00:00 PM,8.243,1.31857
03/10/16 06:15:00 PM,8.26,1.30945
03/10/16 06:30:00 PM,8.274,1.30526
03/10/16 06:45:00 PM,8.28,1.3135
03/10/16 07:00:00 PM,8.283,1.30156
03/10/16 07:15:00 PM,8.283,1.30529
03/10/16 07:30:00 PM,8.277,1.32326
03/10/16 07:45:00 PM,8.262,1.31456
03/10/16 08:00:00 PM,8.243,1.30793
03/10/16 08:15:00 PM,8.226,1.30575
03/10/16 08:30:00 PM,8.202,1.31376
03/10/16 08:45:00 PM,8.174,1.3024
03/10/16 09:00:00 PM,8.138,1.299
03/10/16 09:15:00 PM,8.103,1.29358
03/10/16 09:30:00 PM,8.067,1.31315
03/10/16 09:45:00 PM,8.028,1.29973
03/10/16 10:00:00 PM,7.985,1.30694
03/10/16 10:15:00 PM,7.943,1.30961
03/10/16 10:30:00 PM,7.898,1.29728
03/10/16 10:45:00 PM,7.854,1.2987
03/10/16 11:00:00 PM,7.809,1.29206
03/10/16 11:15:00 PM,7.763,1.30003
03/10/16 11:30:00 PM,7.718,1.30468
03/10/16 11:45:00 PM,7.669,1.30877
03/11/16 12:00:00 AM,7.621,1.31178
03/11/16 12:15:00 AM,7.572,1.30526
03/11/16 12:30:00 AM,7.525,1.29824
03/11/16 12:45:00 AM,7.483,1.30098
03/11/16 01:00:00 AM,7.443,1.2932
03/11/16 01:15:00 AM,7.403,1.29179
03/11/16 01:30:00 AM,7.362,1.29618
03/11/16 01:45:00 AM,7.324,1.30381
03/11/16 02:00:00 AM,7.288,1.31388
03/11/16 02:15:00 AM,7.255,1.3006
03/11/16 02:30:00 AM,7.226,1.29137
03/11/16 02:45:00 AM,7.198,1.30869
03/11/16 03:00:00 AM,7.171,1.3032
03/11/16 03:15:00 AM,7.143,1.30571
03/11/16 03:30:00 AM,7.116,1.30621
03/11/16 03:45:00 AM,7.086,1.2845
03/11/16 04:00:00 AM,7.058,1.29465
03/11/16 04:15:00 AM,7.018,1.3006
03/11/16 04:30:00 AM,6.977,1.30488
03/11/16 04:45:00 AM,6.932,1.31628
03/11/16 05:00:00 AM,6.887,1.30442
03/11/16 05:15:00 AM,6.848,1.30392
03/11/16 05:30:00 AM,6.81,1.30533
03/11/16 05:45:00 AM,6.773,1.30709
03/11/16 06:00:00 AM,6.739,1.30102
03/11/16 06:15:00 AM,6.699,1.29744
03/11/16 06:30:00 AM,6.653,1.30987
03/11/16 06:45:00 AM,6.612,1.30213
03/11/16 07:00:00 AM,6.58,1.29469
03/11/16 07:15:00 AM,6.549,1.28801
03/11/16 07:30:00 AM,6.52,1.28908
03/11/16 07:45:00 AM,6.496,1.30728
03/11/16 08:00:00 AM,6.479,1.30415
03/11/16 08:15:00 AM,6.469,1.30396
03/11/16 08:30:00 AM,6.455,1.29862
03/11/16 08:45:00 AM,6.453,1.31197
03/11/16 09:00:00 AM,6.463,1.29534
03/11/16 09:15:00 AM,6.487,1.28317
03/11/16 09:30:00 AM,6.518,1.28439
03/11/16 09:45:00 AM,6.563,1.29351
03/11/16 10:00:00 AM,6.614,1.29984
03/11/16 10:15:00 AM,6.674,1.30404
03/11/16 10:30:00 AM,6.747,1.29366
03/11/16 10:45:00 AM,6.824,1.3035
03/11/16 11:00:00 AM,6.911,1.31025
03/11/16 11:15:00 AM,7.01,1.30934
03/11/16 11:30:00 AM,7.107,1.29896
03/11/16 11:45:00 AM,7.185,1.28866
03/11/16 12:00:00 PM,7.267,1.29397
03/11/16 12:15:00 PM,7.401,1.29313
03/11/16 12:30:00 PM,7.508,1.3024
03/11/16 12:45:00 PM,7.683,1.30575
03/11/16 01:00:00 PM,7.849,1.29732
03/11/16 01:15:00 PM,7.976,1.30331
03/11/16 01:30:00 PM,7.993,1.29717
03/11/16 01:45:00 PM,8.104,1.30674
03/11/16 02:00:00 PM,8.182,1.32059
03/11/16 02:15:00 PM,8.255,1.29854
03/11/16 02:30:00 PM,8.35,1.30663
03/11/16 02:45:00 PM,8.4,1.31796
03/11/16 03:00:00 PM,8.461,1.2892
03/11/16 03:15:00 PM,8.515,1.29221
03/11/16 03:30:00 PM,8.526,1.30262
03/11/16 03:45:00 PM,8.543,1.29759
03/11/16 04:00:00 PM,8.613,1.29217
03/11/16 04:15:00 PM,8.636,1.30091
03/11/16 04:30:00 PM,8.669,1.30011
03/11/16 04:45:00 PM,8.664,1.30159
